property_type,wall_type,age,issue_type,orientation,ventilation,window_type,occupancy,drying_clothes,main_issue_location,secondary_issue_locations,filename
1970's 2nd and 3rd floor maisonette,cavity,1970s,both,not mentioned,"trickle vents, lack of forced ventilation",not mentioned,5 occupants,yes,bedroom 2,"bedroom 1, lounge, kitchen",0163_LU4.pdf
semi-detached dwelling,cavity,1970s,both,not mentioned,no ventilation,sealed non-opening window unit,not mentioned,not mentioned,WC,not mentioned,0174_MK41.pdf
first floor flat in an end of terrace property,solid,not mentioned,both,not mentioned,not mentioned,uPVC,not mentioned,not mentioned,bedroom,bathroom,0215_SE25.pdf
large detached dwelling,cavity,early to mid 1900’s,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,ground floor front bedroom,shower,0209_RH19.pdf
flat,solid,late 1940s,mould,not mentioned,trickle vents,not mentioned,2 adults,yes,master bedroom,kitchen,0162_LU3.pdf
three-bedroom terraced house,solid,1950s,both,not mentioned,insufficient extraction fan in bathroom,uPVC,"2 adults and 3 children, 2 small dogs",not mentioned,bedroom 1 and bathroom,bedroom 2,0270_TA9.pdf
detached bungalow,cavity,1953,both,not mentioned,uPVC windows with trickle vents (all closed),uPVC,not mentioned,not mentioned,lounge,not mentioned,0279_TN26.pdf
studio apartment,cavity,1960,damp,not mentioned,"mechanical/electrical fan in bathroom, inadequate in kitchen",not mentioned,1 person (void when surveyed),not mentioned,lounge/bedroom,bathroom,0253_TA6.pdf
purpose built block of flats,cavity,circa 2005,both,not mentioned,trickle vents and extractors,PVCu,2 adults and 2 children,yes,kitchen,child's bedroom,0207_RH10.pdf
ground floor flat in a purpose built block,cavity,circa 2009,both,not mentioned,extractor fans in kitchen and bathroom,not mentioned,not mentioned,not mentioned,lounge,"hallway, bedroom 1",0206_RH10.pdf
large extension to an original structure,cavity,not mentioned,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,basement,shower room,0156_KT6.pdf
two bedroom semi-detached house,cavity,not mentioned,mould,not mentioned,passive vents,uPVC,1 adult and 2 children,yes,landing,"bedroom 1, bedroom 2",0132_DT4.pdf
large four bedroom detached house,solid,not mentioned,both,not mentioned,"trickle vents, extractors",uPVC,9 adults,yes,Bedroom 1,Dining Room,0139_E7.pdf
semi-detached 2-bedroom bungalow,cavity,2000/2001,both,north west,not mentioned,not mentioned,2 Adults and 2 children,not mentioned,bedroom,not mentioned,0288_TR15.pdf
one bedroom flat,solid,1950/60,mould,not mentioned,trickle vents,not mentioned,not mentioned,yes,bedroom,not mentioned,0118_CM20.pdf
large semi-detached structure containing 5 self-contained flats,solid,mid to late 1800s,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,bathroom and kitchen area to flat 5,kitchen area to flat 4,0214_SE24.pdf
first floor flat in a purpose built block,cavity,not mentioned,mould,not mentioned,"extractor fan in bathroom, trickle vents in windows",uPVC,not mentioned,yes,bathroom,not mentioned,0202_PO7.pdf
basement flat,solid,prior to 1865,both,north,passive air vents and ceiling mounted extractor unit,not mentioned,not mentioned,not mentioned,"master bedroom, second bedroom",bathroom,0291_W11.pdf
circa 1940's concrete system built structure,solid,1940's,both,not mentioned,trickle vents and extractor fans,uPVC,5 people and 2 dogs,not mentioned,bedroom and bathroom,not mentioned,0271_TA9.pdf
top floor flat,not mentioned,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,"lounge, hallway","bathroom, stairway",0187_NW8.pdf
large detached dwelling of modern construction,cavity,not mentioned,both,not mentioned,"extractor units in bathroom and en-suite areas, trickle vents in windows",not mentioned,not mentioned,not mentioned,rear bedroom,"bathroom, en-suite areas",0281_TN33.pdf
modern ground floor flat,cavity,not mentioned,mould,east,"trickle vents, passive vent, extractor units",uPVC,not mentioned,not mentioned,bedroom,bathroom,0290_W10.pdf
first floor flat in a purpose built block,solid,1950s,both,not mentioned,trickle vents and extractor units,not mentioned,not mentioned,yes,lounge,not mentioned,0296_W6.pdf
old fisherman cottage,solid,circa 1850-1870,damp,not mentioned,trickle ventilation,PVCu,not mentioned,not mentioned,lounge,not mentioned,0252_TA6.pdf
circa 1950’s two bedroom ground floor flat,cavity,1950s,mould,south west,"trickle vents, no use of extraction units",not mentioned,1 adult,yes,bedroom 1,bedroom 2,0133_DT4.pdf
ground floor flat in a purpose built block,cavity,not mentioned,both,not mentioned,both forced and passive ventilation,not mentioned,not mentioned,not mentioned,bathroom,not mentioned,0276_TN16.pdf
single storey structure,cavity,1996,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,toilets,office,0199_PO22.pdf
first floor flat,cavity,post 2000,both,not mentioned,"extractor in bathroom, trickle ventilation in windows",not mentioned,not mentioned,yes,Bedroom 1,Bedroom 2,0198_PO22.pdf
upper floor apartment,not mentioned,not mentioned,both,not mentioned,extractor unit in bathroom,not mentioned,not mentioned,not mentioned,bathroom,communal hallway,0176_N1.pdf
one bedroom ground floor flat,cavity,1970s,mould,not mentioned,"extraction unit in bathroom, windows can lock on safety latch",not mentioned,not mentioned,yes,not mentioned,not mentioned,0192_PO11#.pdf
detached dwelling with a thatched roof,not mentioned,2006,both,not mentioned,insufficient extractor in bathroom,not mentioned,not mentioned,not mentioned,master bedroom,lounge,0147_GU25.pdf
three bedroom semi-detached dwelling,cavity,pre-date 1965,both,not mentioned,"passive vents, extractor fans",uPVC,not mentioned,not mentioned,"bathroom, first floor stairwell",not mentioned,0285_TN38.pdf
purpose built apartment,cavity,circa 2014,both,not mentioned,trickle vents,PVCU,not mentioned,not mentioned,lounge,kitchen,0178_N16.pdf
top floor flat in a modern purpose built development,cavity,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,two bedrooms and the en-suite to the master bedroom,not mentioned,0116_CM12.pdf
mid-terraced three bedroom house,cavity,pre-1965,both,not mentioned,trickle vents and passive vents,uPVC,not mentioned,not mentioned,"kitchen, living room",not mentioned,0268_TA9.pdf
extensively developed property dedicated to the care of elderly residents,cavity,not mentioned,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,stairwell,not mentioned,0190_PL13.pdf
semi-detached three-bedroom house,cavity,1960s to early 70s,both,northwest,extractors and trickle vents,uPVC,3 adults,not mentioned,living room,kitchen,0264_TA7.pdf
maisonette,cavity,late 1800s,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,Kitchen,hallway,0143_E8.pdf
detached,cavity,1950 – 1965,both,west,"no trickle vents, mechanical extraction unit not working",not mentioned,not mentioned,not mentioned,bedroom 2,not mentioned,0246_BN18.pdf
basement flat in a terrace town house,solid,not mentioned,both,not mentioned,"sash windows, extractor unit in shower room",sash,not mentioned,not mentioned,"lounge, bedroom",not mentioned,0128_CT6.pdf
"two story, two-bedroom dwelling",solid,1800s,both,not mentioned,"ceiling mounted extractor unit in bathroom, window units used for passive ventilation",uPVC,1 adult with occasional visits from an adult child,not mentioned,first floor store room,first floor bedroom,0287_TQ2.pdf
large end of terrace dwelling,cavity,not mentioned,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,Bedroom 3,"Bedroom 1, Bedroom 2",0165_ME14.pdf
large purpose built block of flats,cavity,not mentioned,mould,south,"trickle vents closed, extractor unit in bathroom turned off",uPVC,not mentioned,yes,lounge,not mentioned,0228_SS1.pdf
ground floor flat in a purpose built block,cavity,not mentioned,mould,north west,trickle vents and wall mounted extractor in bathroom,not mentioned,not mentioned,not mentioned,kitchen,not mentioned,0127_CR8.pdf
first floor apartment,cavity,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,lounge,not mentioned,0182_N8.pdf
