property_type,wall_type,age,issue_type,orientation,ventilation,window_type,occupancy,drying_clothes,main_issue_location,secondary_issue_locations,filename,cause,property_type_categorised,ventilation_categorised,window_type_categorised,cause_primary,cause_secondary,analysis
ground floor flat in a purpose-built block,cavity,early 1970s,both,not mentioned,passive vents and wall-mounted extractor unit in kitchen,uPVC,not mentioned,not mentioned,bathroom,not mentioned,0048_ME1.pdf,inadequate ventilation in the bathroom,ground floor flat,extract ventilation,uPVC,poor ventilation,none,"The main causes of the reported damp and mould issues in the property are high structural moisture levels due to water ingress from the flat above, combined with inadequate ventilation, particularly in the bathroom. The seasonal increase in mould growth during winter months suggests that lower temperatures and higher humidity levels contribute to the problem, while the presence of passive and forced ventilation systems that are not effectively managing moisture levels exacerbates the situation."
ground floor flat in a purpose-built block,cavity,early 1970s,both,not mentioned,passive vents and wall-mounted extractor unit in kitchen,uPVC,not mentioned,not mentioned,bathroom,not mentioned,0164_ME1.pdf,inadequate ventilation in the bathroom,ground floor flat,extract ventilation,uPVC,poor ventilation,none,"The reported damp and mould issues are primarily caused by inadequate damp proofing measures due to the property's construction predating 1965, leading to moisture ingress from the ground. Additionally, poor installation of cavity wall insulation and high external ground levels are contributing to moisture bridging within the cavity walls. Ineffective ventilation from sealed chimneys and damaged extractor fans further exacerbates the moisture retention in the property."
3 bedroom terraced dwelling,cavity,not mentioned,both,not mentioned,"mechanical extraction unit in the bathroom, passive trickle vents to the windows",not mentioned,not mentioned,not mentioned,"bedroom 3, bathroom",kitchen,0041_LU4.pdf,inadequate ventilation during high humidity,mid terrace,extract ventilation,not mentioned,poor ventilation,none,"The main causes of the reported mould issues in the property are poor ventilation, leading to elevated indoor humidity levels, and inadequate extraction in the bathroom, which fails to remove moisture effectively. Additionally, the presence of cold spots due to insufficient insulation may contribute to condensation, further exacerbating the mould growth. The high relative humidity levels observed in various rooms indicate a consistent moisture problem, which is essential for mould proliferation."
flat,cavity,1990 - present,both,south-west,"mechanical extraction unit in bathroom, cooker hood in kitchen, passive trickle vents",not mentioned,not mentioned,not mentioned,bathroom,bedroom,0058_NW7.pdf,inadequate ventilation and elevated humidity levels,flat,extract ventilation,not mentioned,poor ventilation,none,"The reported issues of damp and mould in the property are primarily caused by inadequate ventilation, particularly in the bathroom and kitchen, leading to high levels of atmospheric moisture and condensation. The mechanical extraction units are underperforming, and the occupants are not utilizing trickle vents effectively, which exacerbates moisture retention. Additionally, there are indications of insufficient insulation in the loft, contributing to colder surfaces that promote condensation and mould growth."
one-bedroom first-floor flat,cavity,not mentioned,mould,not mentioned,mechanical extraction units in the bathroom and kitchen/lounge area,not mentioned,not mentioned,yes,bedroom,not mentioned,0079_SO16.pdf,elevated humidity and insufficient ventilation,flat,extract ventilation,not mentioned,poor ventilation,none,"The reported damp and mould issues in the property are primarily caused by inadequate ventilation, particularly in the bathroom and bedroom, where extractor fans are not functioning effectively or are turned off. Additionally, the presence of contents against external walls restricts air circulation, leading to cooler areas that can promote condensation. High relative humidity levels, especially in the external environment, further exacerbate the potential for mould growth."
flat,cavity,1965 – 1990,mould,south,mechanical extraction units in bathroom and kitchen plus trickle vents to the windows,uPVC,not mentioned,not mentioned,"bathroom, kitchen",lounge,0051_ME2.pdf,elevated internal humidity and inadequate ventilation,flat,extract ventilation,uPVC,poor ventilation,none,"The reported damp and mould issues are primarily caused by inadequate ventilation, particularly in moisture-generating areas such as the kitchen and bathroom, where extractor fans are either non-compliant or not functioning. Additionally, high atmospheric moisture levels due to poor air circulation and the presence of colder surfaces contribute to condensation, which fosters mould growth. The lack of proper maintenance of trickle vents and insufficient airflow rates further exacerbate these conditions."
flat,cavity,1965 – 1990,mould,south,mechanical extraction units in bathroom and kitchen plus trickle vents to the windows,uPVC,not mentioned,not mentioned,"bathroom, kitchen",lounge,0169_ME2.pdf,elevated internal humidity and inadequate ventilation,flat,extract ventilation,uPVC,poor ventilation,none,"The main causes of the reported damp and mould issues in the flat include inadequate ventilation leading to high humidity levels, particularly during winter months, and the presence of moisture from external sources, such as water ingress through the external wall. Additionally, the tenant's practices, such as drying laundry indoors without sufficient ventilation and the ineffective use of extractor fans, contribute to elevated moisture levels that facilitate mould growth."
three-bedroom semi-detached bungalow,timber,pre-1965,mould,not mentioned,passive ventilation with trickle vents,uPVC,not mentioned,not mentioned,Bedroom 1,Bedroom 3,0007_CM9.pdf,persistent elevated atmospheric moisture levels,semi-detached/end terrace,natural ventilation,uPVC,poor ventilation,none,"The reported mould outbreaks in the property are primarily caused by inadequate ventilation, particularly the lack of forced ventilation in moisture-prone areas like the kitchen and bathroom, leading to elevated humidity levels. Additionally, the property's construction prior to 1965 likely lacks a proper damp proof membrane, allowing ground moisture to migrate. The presence of contents blocking airflow against external walls further exacerbates the issue by preventing adequate air circulation, which can lead to condensation and mould growth."
three bedroomed semi-detached dwelling,solid,pre-1965,both,not mentioned,"kitchen extractor not working, bathroom extractor insufficient",uPVC,not mentioned,not mentioned,Master Bedroom,not mentioned,0052_ME3.pdf,rainwater ingress through defective exterior render,semi-detached/end terrace,extract ventilation,uPVC,external moisture penetration,none,"The reported damp and mould issues in the property are primarily caused by a combination of inadequate damp proofing due to the absence of a Damp Proof Membrane (DPM) in the concrete floor slab, which was constructed before 1965, and ongoing water ingress from external sources, particularly through damaged render and poor detailing of the conservatory roof flashings. Additionally, a minor leak from the bath's plughole assembly has contributed to elevated moisture levels, while insufficient ventilation, particularly in the kitchen and bathroom, exacerbates the moisture retention within the property."
three bedroomed semi-detached dwelling,solid,pre-1965,both,not mentioned,"kitchen extractor not working, bathroom extractor insufficient",uPVC,not mentioned,not mentioned,Master Bedroom,not mentioned,0170_ME3.pdf,rainwater ingress through defective exterior render,semi-detached/end terrace,extract ventilation,uPVC,external moisture penetration,none,"The reported damp and mould issues in the property are primarily caused by inadequate damp proofing due to the absence of a Damp Proof Membrane (DPM) in the concrete floor slab, as it was constructed before 1965. Additionally, there are significant water ingress issues from external sources, particularly through damaged render and poor detailing of the conservatory roof flashings, which allow rainwater to penetrate the walls. The presence of a minor leak from the bath also contributes to elevated moisture levels, creating conditions conducive to mould growth, exacerbated by insufficient ventilation from non-functional extractor fans and the lack of trickle vents in the windows."
end of terrace dwelling,solid,early 1900s,both,south,extractor fans in bathroom and kitchen,uPVC,not mentioned,not mentioned,gable end wall,"dining room, bedroom",0074_RH19.pdf,residual cavity wall insulation preventing ventilation,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none,"The reported damp and mould issues are primarily caused by inadequate ventilation due to significant levels of residual cavity wall insulation, which prevents natural airflow and leads to 'reverse condensation.' Additionally, debris bridging the damp proof course (DPC) allows ground moisture to migrate into the wall structure, while the use of hard cement-based mortar for repointing instead of lime-based mortar restricts moisture venting, further exacerbating the moisture retention in the walls."
end of terrace dwelling,solid,early 1900s,both,south,extractor fans in bathroom and kitchen,uPVC,not mentioned,not mentioned,gable end wall,"dining room, bedroom",0209_RH19.pdf,residual cavity wall insulation preventing ventilation,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none,"The reported damp and mould issues are primarily caused by inadequate waterproofing and moisture barriers in the property's construction, particularly the reliance on a single bitumen damp proof membrane (DPM) that is insufficient to prevent ground moisture from affecting the internal wall structures. Additionally, the presence of open chimney pots allows rainwater ingress, further exacerbating the moisture problems. Contributing factors include potential water migration from the shower area due to poor sealing and the age of the structure, which may not meet modern moisture resistance standards."
flat,cavity,not mentioned,both,west,mechanical extraction units and window trickle vents,not mentioned,not mentioned,not mentioned,"kitchen, bathroom","bedroom 1, lounge",0050_ME2.pdf,inadequate ventilation and raised humidity levels,flat,extract ventilation,not mentioned,poor ventilation,none,"The reported damp and mould issues in the flat are primarily caused by inadequate ventilation, leading to elevated humidity levels and condensation, particularly in areas like the kitchen and bathroom. Additionally, the previous water escape from the flat above has likely contributed to moisture retention in the affected areas. The accumulation of contents against external walls further exacerbates the problem by restricting air circulation, which is essential for moisture control."
ground floor maisonette,cavity,not mentioned,both,not mentioned,"continuous running fan in bathroom, intermittent unit in kitchen",uPVC,1 adult and 1 child alongside a large dog,yes,bathroom,not mentioned,0049_ME2.pdf,lack of adequate ventilation and moisture generation,ground floor flat,continuous mechanical ventilation,uPVC,poor ventilation,lifestyle factors,"The reported damp and mould issues in the property are primarily caused by inadequate ventilation, leading to elevated atmospheric moisture levels. The presence of high relative humidity, particularly in habitable rooms, combined with insufficient airflow from both passive and forced ventilation systems, contributes to condensation and mould growth. Additionally, activities such as drying clothes indoors without proper ventilation exacerbate moisture accumulation, while potential plumbing issues in the bathroom may also contribute to localized dampness."
ground floor maisonette,cavity,not mentioned,both,not mentioned,"continuous running fan in bathroom, intermittent unit in kitchen",uPVC,1 adult and 1 child alongside a large dog,yes,bathroom,not mentioned,0168_ME2.pdf,lack of adequate ventilation and moisture generation,ground floor flat,continuous mechanical ventilation,uPVC,poor ventilation,lifestyle factors,"The reported damp and mould issues in the property are primarily caused by inadequate ventilation, particularly in moisture-generating areas like the bathroom and kitchen, which lack forced ventilation. Additionally, the high occupancy of the property contributes to increased atmospheric moisture levels, exacerbating the problem. The absence of a damp proof membrane in the concrete floor slabs, due to the property's age, allows ground moisture to migrate, further contributing to the damp conditions. Furthermore, the presence of poorly installed cavity wall insulation may lead to thermal bridging, resulting in localized cold spots that promote condensation."
hairdressers,solid,1965 – 1990,both,south-east,forced air extraction unit and open wall vents,not mentioned,not mentioned,not mentioned,rear room,toilet,0056_NG17.pdf,water ingress from flat roof defects,other,extract ventilation,not mentioned,external moisture penetration,none,"The reported damp and mould issues are primarily caused by inadequate ventilation and moisture ingress from the flat roof, which is compromised by structural defects such as cracks and blocked drainage. The reliance on passive ventilation, combined with high indoor humidity levels, creates conditions conducive to condensation and mould growth, particularly in areas with significant temperature differentials. Additionally, the lack of effective heating exacerbates the problem, allowing moisture to accumulate and persist."
semi-detached three storey dwelling,solid,2018,mould,not mentioned,MVHR unit,not mentioned,1 adult and 1 large dog,not mentioned,bedroom,not mentioned,0083_SO50.pdf,inadequate use of ventilation measures,semi-detached/end terrace,MVHR,not mentioned,poor ventilation,none,"The reported damp and mould issues are primarily caused by inadequate ventilation, particularly in the top-floor bedrooms and the internal bathroom, which rely heavily on the mechanical ventilation heat recovery (MVHR) unit that was isolated during the survey. Additionally, the presence of high moisture levels in the structural walls and the closed nature of certain rooms contribute to condensation, exacerbating the mould problem. The reliance on a filter-only cooker hood in the kitchen further limits effective air circulation, leading to excessive heat and humidity within the dwelling."
ground floor retail unit,cavity,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,rear store,hair salon,0088_SW6.pdf,active condensation in rear area,other,not mentioned,not mentioned,poor ventilation,none,"The reported issues of damp and mould in the property are primarily caused by ongoing water ingress from the elevated external ground level, which leads to moisture penetration into the rear storage areas. Additionally, the high relative humidity levels, particularly in the rear area, contribute to the conditions conducive for mould growth, as the moisture levels exceed the thresholds necessary for mould proliferation. The lack of effective drainage or waterproofing measures further exacerbates these issues."
ground floor retail unit,cavity,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,rear store,hair salon,0244_SW6.pdf,active condensation in rear area,other,not mentioned,not mentioned,poor ventilation,none,"The reported damp and mould issues in the property are primarily caused by inadequate ventilation, particularly in the kitchen and bathroom areas, leading to elevated humidity levels. Additionally, the detailing of dry lining around window reveals may contribute to moisture retention, while the presence of high moisture levels in the toilet area suggests potential structural dampness. The overall atmospheric conditions, with relative humidity consistently above 60%, further support the development of mould."
flat,cavity,not mentioned,both,south,"mechanical extraction unit in bathroom, passive wall vents in bedrooms and kitchen",not mentioned,not mentioned,not mentioned,Bedroom 1,Kitchen,0047_ME1.pdf,inadequate ventilation and surface condensation,flat,extract ventilation,not mentioned,poor ventilation,none,"The main causes of the reported damp and mould issues in the flat are inadequate ventilation and high internal humidity levels. The property exhibits poor air circulation, particularly in the bathroom and kitchen, where the mechanical extraction unit is underperforming and the passive ventilation is insufficient. Additionally, the high relative humidity levels in various rooms contribute to condensation on surfaces, creating an environment conducive to mould growth."
top floor flat in a purpose-built block,solid,not mentioned,both,north,"uPVC windows with trickle vents, non-working extractor fans in kitchen and bathroom",uPVC,not mentioned,yes,bedroom 1,bedroom 2,0006_CM9.pdf,ineffective ventilation and high humidity levels,flat,extract ventilation,uPVC,poor ventilation,none,"The main causes of the reported damp and mould issues in the property are inadequate ventilation, particularly in the kitchen and bathroom where extractor fans are either non-functional or sealed, leading to elevated humidity levels. Additionally, the presence of external wall insulation may have compromised the roof's ventilation, contributing to condensation and moisture accumulation in the loft area. The drying of laundry indoors further exacerbates humidity levels, creating an environment conducive to mould growth."
two bedroom first floor flat,cavity,circa 1990s,mould,not mentioned,"working mechanical extraction units in the bathroom and WC, three-speed cookerhood in the kitchen",uPVC,not mentioned,not mentioned,"lounge, bedroom 2",bedroom 1,0002_BN43.pdf,inadequate ventilation during elevated humidity,flat,extract ventilation,uPVC,poor ventilation,none,"The main causes of the reported damp and mould issues in the property are inadequate ventilation and high relative humidity levels. The bathroom and kitchen extraction units are not functioning effectively, leading to moisture accumulation. Additionally, the presence of furniture against external walls restricts air circulation, contributing to condensation and mould growth, particularly in areas with high humidity and low surface temperatures."
top floor flat in a purpose-built block,cavity,late 1960s,mould,not mentioned,kitchen does not benefit from an extractor fan; bathroom fan unit has issues,uPVC,not mentioned,not mentioned,Bedroom,Bathroom,0011_CR0.pdf,ineffective ventilation and high humidity levels,flat,natural ventilation,uPVC,poor ventilation,none,"The reported mould issues in the property are primarily caused by persistent elevated humidity levels, which are driven by inadequate ventilation and high moisture generation from occupational activities. The lack of effective ventilation in the kitchen and bathroom, compounded by issues with the bathroom fan and the inability to open windows in certain areas, exacerbates condensation problems. Additionally, the occupants' difficulty in maintaining a suitable temperature due to health issues further contributes to the overall humidity, creating an environment conducive to mould growth."
top floor flat in a purpose-built block,cavity,late 1960s,mould,not mentioned,kitchen does not benefit from an extractor fan; bathroom fan unit has issues,uPVC,not mentioned,not mentioned,Bedroom,Bathroom,0125_CR0.pdf,ineffective ventilation and high humidity levels,flat,natural ventilation,uPVC,poor ventilation,none,"The reported damp and mould issues in the property are primarily caused by inadequate ventilation, particularly with the ineffective extractor fans in the kitchen and bathroom, which fail to adequately remove moisture-laden air. Additionally, significant cracking in the external render allows rainwater to penetrate the walls, exacerbating moisture retention within the structure. The presence of hygroscopic salts indicates that ground moisture is also contributing to the damp conditions, while the thermal inefficiency of damp walls further promotes condensation and mould growth."
ground floor flat in a purpose-built block,cavity,late 1990s,both,not mentioned,passive ventilation with trickle vents and extractor fans,uPVC,not mentioned,yes,Bedroom 1,Bathroom,0075_RH20.pdf,cooler wall temperatures causing mould development,ground floor flat,extract ventilation,uPVC,insufficient heating,none,"The reported damp and mould issues in the property are primarily caused by elevated atmospheric moisture levels and poor ventilation, particularly in the bathroom and kitchen areas. The low internal air temperature, set at 15°C, contributes to increased relative humidity, creating conditions conducive to mould growth. Additionally, the ineffective operation of the kitchen extractor fan exacerbates moisture retention, while the overall occupancy and usage patterns may lead to excessive moisture generation within the flat."
top floor 4 bedroom dwelling,not mentioned,not mentioned,not mentioned,not mentioned,"MVHR system, extractors",not mentioned,not mentioned,not mentioned,Bedroom 2,not mentioned,0018_EC1M.pdf,taped ventilation diffusers affecting air circulation,flat,MVHR,not mentioned,poor ventilation,none,"The main causes of the reported damp and mould issues appear to be inadequate ventilation due to blocked vents in multiple rooms, including the master bedroom and Bed 2, which can lead to poor air circulation and increased humidity levels. Additionally, the presence of a potentially leaking shower tray in Bed 2, despite no elevated moisture readings, suggests that water ingress may also contribute to the damp conditions. The reliance on a single cooker hood extractor in the kitchen and the overall performance of the MVHR system, which may require maintenance, further indicate insufficient ventilation throughout the property."
semi-detached dwelling,cavity,1970s,mould,north/west,"passive vents, extractor fans",uPVC,not mentioned,not mentioned,Bedroom 1,Bathroom,0040_LU4.pdf,lack of adequate ventilation,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none,"The main causes of the reported damp and mould issues in the property are poor ventilation leading to condensation, particularly in Bedroom 1 where windows are kept closed during colder nights, and a malfunctioning bathroom extractor unit that fails to expel moisture-laden air. Additionally, the presence of a passive vent in Bedroom 2 obstructed by a TV cable may contribute to cooler temperatures and localized mould growth, exacerbating the overall moisture problem."
bungalow,solid,1920 – 1950,both,north,"mechanical extract fans in kitchen and bathroom, wall passive vents",uPVC,not mentioned,not mentioned,bathroom,"bedroom, kitchen",0054_ME4.pdf,inadequate ventilation and raised humidity levels,other,extract ventilation,uPVC,poor ventilation,none,"The reported damp and mould issues are primarily caused by significant water discharge from external pipework, leading to moisture accumulation in the foundations and interior spaces. This is compounded by inadequate ventilation, as evidenced by closed trickle vents and insufficient air circulation, which contributes to elevated humidity levels and condensation. Additionally, the recent installation of resilient flooring in areas prone to moisture has likely exacerbated the situation by trapping moisture beneath the surface."
bungalow,solid,1920 – 1950,both,north,"mechanical extract fans in kitchen and bathroom, wall passive vents",uPVC,not mentioned,not mentioned,bathroom,"bedroom, kitchen",0171_ME4.pdf,inadequate ventilation and raised humidity levels,other,extract ventilation,uPVC,poor ventilation,none,"The main causes of the reported damp and mould issues in the property include poor ventilation, particularly in the bathroom and kitchen, leading to elevated humidity levels. Additionally, the presence of multiple occupants and activities such as drying clothes indoors contribute to increased moisture levels. The structural characteristics of the maisonette, including cold external walls and inadequate air circulation due to clutter, further exacerbate the conditions conducive to mould growth."
two-bedroom semi-detached dwelling,cavity,1940s,both,not mentioned,"passive louvres, bathroom extractor",not mentioned,not mentioned,not mentioned,hallway,"lounge, rear bedroom",0055_ME5.pdf,inadequate ventilation and possible cavity wall insulation gaps,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,other/unclear,"The main causes of the reported damp and mould issues in the property are poor ventilation leading to condensation, particularly in areas where temperatures fall below the dew point, and potential gaps in the retrofit cavity wall insulation that may allow moisture ingress. Additionally, the presence of a blocked-off fireplace and inadequate floor membrane in certain areas contribute to localized moisture accumulation, exacerbating the conditions for mould growth."
two-bedroom semi-detached dwelling,cavity,1940s,both,not mentioned,"passive louvres, bathroom extractor",not mentioned,not mentioned,not mentioned,hallway,"lounge, rear bedroom",0172_ME5.pdf,inadequate ventilation and possible cavity wall insulation gaps,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,other/unclear,"The main causes of the damp and mould issues in the property appear to be poor ventilation and high relative humidity levels, particularly in the lounge, bedroom, and bathroom, which are contributing to elevated moisture readings. Additionally, the cracking of the poured bitumen damp proof membrane (DPM) and the potential for the floor finish to act as a DPM may be allowing moisture ingress from the ground, exacerbating the damp conditions."
two bedroom ground floor flat,cavity,not mentioned,both,not mentioned,extraction unit in the bathroom,not mentioned,not mentioned,yes,children's bedroom,kitchen,0208_RH13.pdf,gaps in windows and front door,ground floor flat,extract ventilation,not mentioned,external moisture penetration,none,"The main causes of the reported damp and mould issues in the flat include poor ventilation, as indicated by the ineffective extraction unit in the bathroom and the practice of drying laundry in a closed bathroom, leading to high humidity levels. Additionally, gaps around windows and the front door allow cold air to enter, exacerbating condensation problems. The presence of plant growth affecting air bricks and potential insulation deficiencies further contribute to heat loss and moisture retention within the property."
ground floor apartment in a purpose built block,solid,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,"bathroom, kitchen",not mentioned,0121_CO2.pdf,plumbing related issue,ground floor flat,not mentioned,not mentioned,internal leaks/plumbing,none,"The reported damp and mould issues in the apartment are primarily caused by water ingress from a soil stack that has experienced a loss of water, leading to moisture accumulation in the wall structures. Additionally, the construction of the property, with concrete block walls and a concrete floor slab, may contribute to poor moisture management, allowing dampness to penetrate through capillary action. High relative humidity levels in the interior spaces, particularly in the bathroom, further exacerbate the conditions conducive to mould growth."
mid-block ground floor flat,cavity,pre-1960,damp,not mentioned,"extractor in bathroom, trickle vents on windows",uPVC,not mentioned,yes,"bathroom, kitchen",not mentioned,0261_TA6.pdf,excess moisture from drying laundry indoors,ground floor flat,extract ventilation,uPVC,lifestyle factors,none,"The reported high moisture levels in the bathroom and kitchen are primarily caused by inadequate ventilation, as evidenced by the non-functioning extractor fan and the removal of the kitchen door, which allows moisture from cooking to spread. Additionally, the use of a temporary washing line in the hallway contributes to increased humidity levels. The presence of unsealed vinyl flooring around the bath and direct water exposure from the shower further exacerbates moisture retention, while the lack of a vertical damp proof course (DPC) may allow for moisture ingress from the cavity walls."
end of terrace semi-detached 2 bedroom house,not mentioned,late 1970s,both,not mentioned,"one trickle vent in bathroom, passive vent in kitchen",uPVC,2 adults and 2 children,yes,"main bedroom, conservatory",hall,0203_PO9.pdf,lack of ventilation within the property,semi-detached/end terrace,natural ventilation,uPVC,poor ventilation,none,"The main causes of the reported damp and mould issues in the property are poor ventilation, particularly due to the lack of trickle vents in key areas like the main bedroom, and the storage of contents against external walls, which restricts airflow. Additionally, high humidity levels, as indicated by the moisture survey, contribute to condensation, especially in areas with inadequate heating and ventilation, such as the hallway and conservatory."
self-contained flat,not mentioned,circa 2006,damp,south west,trickle vents with forced air ventilation,aluminium,not mentioned,not mentioned,south west corner,not mentioned,0186_NW2.pdf,condensation from inadequate ventilation,flat,extract ventilation,aluminium,poor ventilation,none,"The main causes of the reported damp and mould issues are poor ventilation, as indicated by blocked forced ventilation and inactive trickle vents, leading to excessive moisture accumulation. Additionally, the presence of corrosion and decay in structural elements suggests prolonged exposure to moisture, likely exacerbated by inadequate air circulation and potential water ingress from the exterior."
three-bedroom end of terrace house,cavity,circa 1950s,both,not mentioned,extractors and trickle vents,uPVC,2 adults and 5 children,no,lounge,not mentioned,0104_BN18.pdf,lack of adequate ventilation,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none,"The reported damp and mould issues are primarily caused by a combination of poor ventilation, leading to elevated atmospheric humidity levels, and moisture ingress from external sources, particularly due to previously blocked guttering. Additionally, the presence of contents against colder exterior walls restricts airflow and contributes to cold spots, which can foster mould growth. The lack of effective operation of bathroom and kitchen extractors further exacerbates the humidity problem, while inadequate insulation in the loft may allow warm air to penetrate, increasing condensation risks."
ground floor flat,cavity,not mentioned,both,not mentioned,extractor fan in kitchen and bathroom,not mentioned,not mentioned,not mentioned,bedroom,"study, lounge/kitchen",0157_LE7.pdf,atmospheric moisture from inadequate ventilation,ground floor flat,extract ventilation,not mentioned,poor ventilation,none,"The main causes of the reported damp and mould issues include poor ventilation, particularly in the bathroom where the extractor fan is ineffective, leading to high humidity levels. Additionally, moisture ingress from external sources is suggested by missing mortar on the damp proof course (DPC) and inadequate drainage, which may allow water to penetrate the walls. The presence of moisture beneath the laminate flooring and the lack of effective sealing around the bath panel further contribute to the moisture retention and subsequent mould growth."
end terrace one-bedroom bungalow,cavity,late 1950s,damp,not mentioned,trickle ventilation and extractor in kitchen,PVCu,not mentioned,not mentioned,bathroom,not mentioned,0172_ME5.pdf,water pooling at wall/floor junction,semi-detached/end terrace,extract ventilation,uPVC,external moisture penetration,none,"The main causes of the damp and mould issues in the property appear to be poor ventilation and high relative humidity levels, particularly in the lounge, bedroom, and bathroom, which are contributing to elevated moisture readings. Additionally, the cracking of the poured bitumen damp proof membrane (DPM) and the potential for the floor finish to act as a DPM may be allowing moisture ingress from the ground, exacerbating the damp conditions."
ground floor flat in a modern purpose built block,cavity,not mentioned,mould,north east,not mentioned,not mentioned,not mentioned,not mentioned,built-in wardrobe,en-suite bathroom,0205_RG27.pdf,interstitial condensation from atmospheric moisture,ground floor flat,not mentioned,not mentioned,poor ventilation,none,"The main causes of the mould activity reported in the built-in wardrobe are high relative humidity levels, which reached 61.9%, and interstitial condensation due to inadequate thermal insulation and temperature differentials within the wall structure. The presence of moisture in the atmosphere, combined with the conditions created by the cavity wall construction and the thermal properties of the materials used, has led to sufficient water activity for mould growth."
three-bedroomed semi-detached house,cavity,not mentioned,both,not mentioned,"trickle vents, mechanical extraction units",not mentioned,6 occupants,yes,Bedroom 1,"Bathroom, Bedroom 2",0159_LU1.pdf,inadequate ventilation and elevated humidity levels,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,none,"The main causes of the reported damp and mould issues in the property are inadequate ventilation and high internal humidity levels. The presence of a large family generates significant moisture, exacerbated by activities such as drying clothes indoors. Additionally, the mechanical ventilation systems in the bathroom and kitchen are either underperforming or not functioning, leading to elevated humidity and condensation on cooler surfaces, which promotes mould growth."
lower ground floor flat in a large terrace property,solid,pre-1965,both,not mentioned,extractor fans in bathroom and kitchen areas,not mentioned,not mentioned,not mentioned,bathroom,middle bedroom,0284_TN37.pdf,ground related moisture source affecting the structure,ground floor flat,extract ventilation,not mentioned,rising damp,none,"The main causes of the reported damp and mould issues in the property include inadequate damp proofing due to the age of the construction, which likely lacks a proper damp proof membrane (DPM) in the concrete slab, leading to ground moisture ingress. Additionally, significant water leaks in the bathroom have contributed to high moisture levels, while poor ventilation, exacerbated by the unoccupied status of the property and non-functional extractor fans, has led to elevated humidity and potential condensation problems."
ground floor and basement flats in a large property,solid,early 1900s,both,not mentioned,ceiling mounted extractor fan,not mentioned,4 members of the family,not mentioned,bathroom,front room,0216_SE4.pdf,condensation from unvented bathroom extractor fan,ground floor flat,extract ventilation,not mentioned,poor ventilation,none,"The main causes of the reported damp and mould issues are poor ventilation, particularly in the bathroom of Flat 1, where the extractor fan is not vented to the exterior, leading to moisture accumulation in the floor structure. Additionally, the obstruction of an air brick has contributed to inadequate airflow, exacerbating the conditions for fungal growth. The presence of high moisture levels in certain areas, combined with the structural characteristics of the property, further supports the development of dry rot."
ground floor flat in a purpose built block,solid,late 1930s,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,bathroom,kitchen,0240_SW6.pdf,plumbing issues causing structural moisture,ground floor flat,not mentioned,not mentioned,internal leaks/plumbing,none,"The main causes of the reported damp and mould issues in the property appear to be significant structural moisture levels primarily due to plumbing issues, particularly in the bathroom area. This is compounded by the solid brick construction and ground-supported concrete floor, which may limit natural ventilation and exacerbate moisture retention, leading to visible damp and mould growth."
ground floor flat in a modern purpose built block,cavity,not mentioned,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,kitchen/lounge,not mentioned,0151_HA4.pdf,mismatch in heating system installation,ground floor flat,not mentioned,not mentioned,other/unclear,none,"The reported damp issues in the property are primarily caused by inadequate performance of the underfloor heating system, which is losing pressure and failing to maintain consistent heating across the kitchen/lounge area. Additionally, the mismatch between the heating system and the positioning of the breakfast bar contributes to cold spots, while high external humidity levels (93.3%) may exacerbate condensation problems within the property."
ground floor flat in a purpose built block,cavity,not mentioned,both,north,"trickle vents, wall mounted bathroom extractor",uPVC,not mentioned,not mentioned,master bedroom and bathroom,not mentioned,0126_CR3.pdf,atmospheric moisture from occupational activity,ground floor flat,extract ventilation,uPVC,lifestyle factors,none,"The reported damp and mould issues in the property are primarily caused by inadequate ventilation, leading to high internal humidity levels, particularly in the bedroom and bathroom areas. Additionally, there is evidence of water ingress from the roof above, which exacerbates the moisture problem. The combination of these factors creates an environment conducive to mould growth, as the relative humidity exceeds the threshold necessary for mould proliferation."
end of terrace dwelling,cavity,not mentioned,both,not mentioned,"passive vents, extractor fan",uPVC,not mentioned,not mentioned,"bathroom, rear bedroom",kitchen,0136_DT5.pdf,atmospheric moisture from inadequate ventilation,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none,"The main causes of the reported damp and mould issues in the property are inadequate ventilation, particularly in the kitchen and bathroom, where passive and forced ventilation systems are either sealed or turned off, leading to elevated humidity levels. Additionally, the presence of thermoplastic floor tiles may be contributing to moisture retention, and the lack of proper venting for the tumble dryer exacerbates humidity issues. The combination of these factors creates an environment conducive to mould growth, especially in areas with high moisture levels and poor air circulation."
