property_type,wall_type,age,issue_type,orientation,ventilation,window_type,occupancy,drying_clothes,main_issue_location,secondary_issue_locations,filename,cause,property_type_categorised,ventilation_categorised,window_type_categorised,cause_primary,cause_secondary
ground floor maisonette,cavity,not mentioned,both,not mentioned,"continuous running fan in bathroom, intermittent unit in kitchen",uPVC,1 adult and 1 child alongside a large dog,yes,bathroom,not mentioned,0168_ME2.pdf,lack of adequate ventilation and moisture generation,ground floor flat,continuous mechanical ventilation,uPVC,poor ventilation,lifestyle factors
hairdressers,solid,1965 – 1990,both,south-east,forced air extraction unit and open wall vents,not mentioned,not mentioned,not mentioned,rear room,toilet,0056_NG17.pdf,water ingress from flat roof defects,other,extract ventilation,not mentioned,external moisture penetration,none
semi-detached three storey dwelling,solid,2018,mould,not mentioned,MVHR unit,not mentioned,1 adult and 1 large dog,not mentioned,bedroom,not mentioned,0083_SO50.pdf,inadequate use of ventilation measures,semi-detached/end terrace,MVHR,not mentioned,poor ventilation,none
ground floor retail unit,cavity,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,rear store,hair salon,0088_SW6.pdf,active condensation in rear area,other,not mentioned,not mentioned,poor ventilation,none
ground floor retail unit,cavity,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,rear store,hair salon,0244_SW6.pdf,active condensation in rear area,other,not mentioned,not mentioned,poor ventilation,none
flat,cavity,not mentioned,both,south,"mechanical extraction unit in bathroom, passive wall vents in bedrooms and kitchen",not mentioned,not mentioned,not mentioned,Bedroom 1,Kitchen,0047_ME1.pdf,inadequate ventilation and surface condensation,flat,extract ventilation,not mentioned,poor ventilation,none
top floor flat in a purpose-built block,solid,not mentioned,both,north,"uPVC windows with trickle vents, non-working extractor fans in kitchen and bathroom",uPVC,not mentioned,yes,bedroom 1,bedroom 2,0006_CM9.pdf,ineffective ventilation and high humidity levels,flat,extract ventilation,uPVC,poor ventilation,none
two bedroom first floor flat,cavity,circa 1990s,mould,not mentioned,"working mechanical extraction units in the bathroom and WC, three-speed cookerhood in the kitchen",uPVC,not mentioned,not mentioned,"lounge, bedroom 2",bedroom 1,0002_BN43.pdf,inadequate ventilation during elevated humidity,flat,extract ventilation,uPVC,poor ventilation,none
top floor flat in a purpose-built block,cavity,late 1960s,mould,not mentioned,kitchen does not benefit from an extractor fan; bathroom fan unit has issues,uPVC,not mentioned,not mentioned,Bedroom,Bathroom,0011_CR0.pdf,ineffective ventilation and high humidity levels,flat,natural ventilation,uPVC,poor ventilation,none
top floor flat in a purpose-built block,cavity,late 1960s,mould,not mentioned,kitchen does not benefit from an extractor fan; bathroom fan unit has issues,uPVC,not mentioned,not mentioned,Bedroom,Bathroom,0125_CR0.pdf,ineffective ventilation and high humidity levels,flat,natural ventilation,uPVC,poor ventilation,none
ground floor flat in a purpose-built block,cavity,late 1990s,both,not mentioned,passive ventilation with trickle vents and extractor fans,uPVC,not mentioned,yes,Bedroom 1,Bathroom,0075_RH20.pdf,cooler wall temperatures causing mould development,ground floor flat,extract ventilation,uPVC,insufficient heating,none
top floor 4 bedroom dwelling,not mentioned,not mentioned,not mentioned,not mentioned,"MVHR system, extractors",not mentioned,not mentioned,not mentioned,Bedroom 2,not mentioned,0018_EC1M.pdf,taped ventilation diffusers affecting air circulation,flat,MVHR,not mentioned,poor ventilation,none
semi-detached dwelling,cavity,1970s,mould,north/west,"passive vents, extractor fans",uPVC,not mentioned,not mentioned,Bedroom 1,Bathroom,0040_LU4.pdf,lack of adequate ventilation,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none
bungalow,solid,1920 – 1950,both,north,"mechanical extract fans in kitchen and bathroom, wall passive vents",uPVC,not mentioned,not mentioned,bathroom,"bedroom, kitchen",0054_ME4.pdf,inadequate ventilation and raised humidity levels,other,extract ventilation,uPVC,poor ventilation,none
bungalow,solid,1920 – 1950,both,north,"mechanical extract fans in kitchen and bathroom, wall passive vents",uPVC,not mentioned,not mentioned,bathroom,"bedroom, kitchen",0171_ME4.pdf,inadequate ventilation and raised humidity levels,other,extract ventilation,uPVC,poor ventilation,none
two-bedroom semi-detached dwelling,cavity,1940s,both,not mentioned,"passive louvres, bathroom extractor",not mentioned,not mentioned,not mentioned,hallway,"lounge, rear bedroom",0055_ME5.pdf,inadequate ventilation and possible cavity wall insulation gaps,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,other/unclear
two-bedroom semi-detached dwelling,cavity,1940s,both,not mentioned,"passive louvres, bathroom extractor",not mentioned,not mentioned,not mentioned,hallway,"lounge, rear bedroom",0172_ME5.pdf,inadequate ventilation and possible cavity wall insulation gaps,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,other/unclear
two bedroom ground floor flat,cavity,not mentioned,both,not mentioned,extraction unit in the bathroom,not mentioned,not mentioned,yes,children's bedroom,kitchen,0208_RH13.pdf,gaps in windows and front door,ground floor flat,extract ventilation,not mentioned,external moisture penetration,none
ground floor apartment in a purpose built block,solid,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,"bathroom, kitchen",not mentioned,0121_CO2.pdf,plumbing related issue,ground floor flat,not mentioned,not mentioned,internal leaks/plumbing,none
mid-block ground floor flat,cavity,pre-1960,damp,not mentioned,"extractor in bathroom, trickle vents on windows",uPVC,not mentioned,yes,"bathroom, kitchen",not mentioned,0261_TA6.pdf,excess moisture from drying laundry indoors,ground floor flat,extract ventilation,uPVC,lifestyle factors,none
end of terrace semi-detached 2 bedroom house,not mentioned,late 1970s,both,not mentioned,"one trickle vent in bathroom, passive vent in kitchen",uPVC,2 adults and 2 children,yes,"main bedroom, conservatory",hall,0203_PO9.pdf,lack of ventilation within the property,semi-detached/end terrace,natural ventilation,uPVC,poor ventilation,none
self-contained flat,not mentioned,circa 2006,damp,south west,trickle vents with forced air ventilation,aluminium,not mentioned,not mentioned,south west corner,not mentioned,0186_NW2.pdf,condensation from inadequate ventilation,flat,extract ventilation,aluminium,poor ventilation,none
three-bedroom end of terrace house,cavity,circa 1950s,both,not mentioned,extractors and trickle vents,uPVC,2 adults and 5 children,no,lounge,not mentioned,0104_BN18.pdf,lack of adequate ventilation,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none
ground floor flat,cavity,not mentioned,both,not mentioned,extractor fan in kitchen and bathroom,not mentioned,not mentioned,not mentioned,bedroom,"study, lounge/kitchen",0157_LE7.pdf,atmospheric moisture from inadequate ventilation,ground floor flat,extract ventilation,not mentioned,poor ventilation,none
end terrace one-bedroom bungalow,cavity,late 1950s,damp,not mentioned,trickle ventilation and extractor in kitchen,PVCu,not mentioned,not mentioned,bathroom,not mentioned,0172_ME5.pdf,water pooling at wall/floor junction,semi-detached/end terrace,extract ventilation,uPVC,external moisture penetration,none
ground floor flat in a modern purpose built block,cavity,not mentioned,mould,north east,not mentioned,not mentioned,not mentioned,not mentioned,built-in wardrobe,en-suite bathroom,0205_RG27.pdf,interstitial condensation from atmospheric moisture,ground floor flat,not mentioned,not mentioned,poor ventilation,none
three-bedroomed semi-detached house,cavity,not mentioned,both,not mentioned,"trickle vents, mechanical extraction units",not mentioned,6 occupants,yes,Bedroom 1,"Bathroom, Bedroom 2",0159_LU1.pdf,inadequate ventilation and elevated humidity levels,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,none
lower ground floor flat in a large terrace property,solid,pre-1965,both,not mentioned,extractor fans in bathroom and kitchen areas,not mentioned,not mentioned,not mentioned,bathroom,middle bedroom,0284_TN37.pdf,ground related moisture source affecting the structure,ground floor flat,extract ventilation,not mentioned,rising damp,none
ground floor and basement flats in a large property,solid,early 1900s,both,not mentioned,ceiling mounted extractor fan,not mentioned,4 members of the family,not mentioned,bathroom,front room,0216_SE4.pdf,condensation from unvented bathroom extractor fan,ground floor flat,extract ventilation,not mentioned,poor ventilation,none
ground floor flat in a purpose built block,solid,late 1930s,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,bathroom,kitchen,0240_SW6.pdf,plumbing issues causing structural moisture,ground floor flat,not mentioned,not mentioned,internal leaks/plumbing,none
ground floor flat in a modern purpose built block,cavity,not mentioned,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,kitchen/lounge,not mentioned,0151_HA4.pdf,mismatch in heating system installation,ground floor flat,not mentioned,not mentioned,other/unclear,none
ground floor flat in a purpose built block,cavity,not mentioned,both,north,"trickle vents, wall mounted bathroom extractor",uPVC,not mentioned,not mentioned,master bedroom and bathroom,not mentioned,0126_CR3.pdf,atmospheric moisture from occupational activity,ground floor flat,extract ventilation,uPVC,lifestyle factors,none
end of terrace dwelling,cavity,not mentioned,both,not mentioned,"passive vents, extractor fan",uPVC,not mentioned,not mentioned,"bathroom, rear bedroom",kitchen,0136_DT5.pdf,atmospheric moisture from inadequate ventilation,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none
two bedroom ground floor flat,cavity,not mentioned,both,not mentioned,extractor fan in bathroom and kitchen,not mentioned,not mentioned,not mentioned,kitchen,master bedroom,0229_SS13.pdf,interstitial condensation from internal atmospheric conditions,ground floor flat,extract ventilation,not mentioned,poor ventilation,none
mid-terrace dwelling,cavity,2007,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,lounge,not mentioned,0235_SW12.pdf,issue with roof drainage sealing,mid terrace,not mentioned,not mentioned,external moisture penetration,none
maisonette,solid,late 1800’s to early 1900's,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,party wall,bathroom,0294_W14.pdf,moisture from refurbishment works,other,not mentioned,not mentioned,residual construction moisture,none
ground floor flat,solid,1980s,both,not mentioned,"100mm automatic forced vent (not working), no trickle vents",not mentioned,2 adults,yes,bathroom,hall,0274_TA9.pdf,leak from the above flat's bathroom,ground floor flat,extract ventilation,not mentioned,internal leaks/plumbing,none
2 Bedroom end terrace house,cavity,mid to late 1930's,both,not mentioned,"bathroom extractor fan not working, no kitchen extraction fan",not mentioned,2 Adults and 2 Children plus 1 small dog,yes,kitchen and bathroom,not mentioned,0257_TA6.pdf,excessive occupational moisture from tenant activities,semi-detached/end terrace,extract ventilation,not mentioned,lifestyle factors,poor ventilation
three-bedroom mid-terraced house,solid,not mentioned,both,not mentioned,"kitchen 150 mm diameter fan airflow 2.6 m/s, bathroom 100 mm diameter fan airflow 1 m/s",double-glazed UPVC,4 adults 1 dog (small),yes,"lounge, bedroom 3",bedroom 2,0247_TA6.pdf,poor ventilation and high atmospheric moisture,mid terrace,extract ventilation,uPVC,poor ventilation,none
one bedroom first floor flat,solid,not mentioned,both,not mentioned,"trickle vents, extractor fans",uPVC,1 adult and 2 infants,yes,bedroom,"kitchen, lounge, bathroom",0141_E7.pdf,lack of adequate ventilation and drying clothes indoors,flat,extract ventilation,uPVC,poor ventilation,lifestyle factors
first/second floor apartment,cavity,2005,both,not mentioned,passive vents located above the bedroom windows,metal framed,not mentioned,not mentioned,"galleried lounge area, kitchen","small bedroom, bathroom",0179_N19.pdf,cold bridging causing condensation formation,flat,natural ventilation,aluminium,poor ventilation,none
two bedroom first floor flat,cavity,1960s,both,not mentioned,trickle vents,not mentioned,not mentioned,not mentioned,"bathroom, bedroom",not mentioned,0117_CM18.pdf,lack of ventilation and condensation,flat,natural ventilation,not mentioned,poor ventilation,none
end-of-terraced three bedroom house,cavity,pre-date 1965,both,not mentioned,"trickle vents, no forced ventilation in kitchen or bathroom",uPVC,2 adults and 1 dog,not mentioned,"bedroom 2, bedroom 3",not mentioned,0265_TA8.pdf,lack of moisture ventilation in the property,semi-detached/end terrace,natural ventilation,uPVC,poor ventilation,none
three-bedroom end terrace house,cavity,2007,both,not mentioned,retrofit ventilation slots in the laps of the roofing felt,not mentioned,1 x Adult and 1 x 15-year-old male,not mentioned,1st floor front bedroom,loft,0191_PL25.pdf,compromised eaves ventilation from guttering installation,semi-detached/end terrace,other,not mentioned,poor ventilation,none
semi-detached house,cavity,not mentioned,mould,not mentioned,extractors,not mentioned,not mentioned,not mentioned,rear lounge,not mentioned,0115_CH7.pdf,lack of air circulation and high humidity,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,none
large detached dwelling,solid,1750,both,south,not mentioned,not mentioned,not mentioned,not mentioned,kitchen,hallway,0227_SO51.pdf,water ingress from significant rainfall,detached,not mentioned,not mentioned,external moisture penetration,none
large detached Grade II listed dwelling,solid,circa 1700,both,not mentioned,upgrading of the extractor fan units to the bathroom and shower room is recommended,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,0226_SO51.pdf,rainwater getting behind external render,detached,extract ventilation,not mentioned,external moisture penetration,none
single storey extension to a land manor house,cavity,1980s,damp,north,not mentioned,not mentioned,not mentioned,not mentioned,kitchen,dining area,0280_TN3.pdf,condensation from external atmospheric conditions,other,not mentioned,not mentioned,poor ventilation,other/unclear
large detached house converted into two flats,solid,not mentioned,both,not mentioned,"passive vents, extraction units",wood framed,1 adult and 1 child,not mentioned,"kitchen, Bedroom 1","Bedroom 2, lounge",0184_NW10.pdf,rainwater discharging down defective downpipe,flat,extract ventilation,timber,external moisture penetration,none
semi-detached brick built property,cavity,circa 1970,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,lounge,not mentioned,0112_CA1.pdf,inadequate air circulation in cavity wall,semi-detached/end terrace,not mentioned,not mentioned,poor ventilation,none
ground floor flat,cavity,circa 2013,both,not mentioned,positive air input system,uPVC,not mentioned,yes,bedroom,bathroom,0185_NW11.pdf,bridging in cavity causing moisture ingress,ground floor flat,PIV,uPVC,external moisture penetration,none
1st floor apartment,not mentioned,not mentioned,both,not mentioned,7 roof vents installed,not mentioned,not mentioned,not mentioned,bedroom,kitchen,0234_SS5.pdf,poorly installed roof membrane allowing moisture ingress,flat,natural ventilation,not mentioned,external moisture penetration,none
mid-terraced dwelling,cavity,pre-1965,damp,not mentioned,trickle vents,uPVC,not mentioned,not mentioned,Bathroom,not mentioned,0275_TA9.pdf,raised atmospheric moisture levels,mid terrace,natural ventilation,uPVC,poor ventilation,none
end of terrace dwelling,solid,early 1900s,both,not mentioned,passive vents and wall mounted extractor unit,uPVC,not mentioned,not mentioned,kitchen and bathroom,not mentioned,0129_CT9.pdf,ineffective ventilation and condensation issues,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none
three bedroom end terrace Cornish Unit,solid,1950s,both,not mentioned,no kitchen or bathroom ventilation,uPVC,2 Adults,not mentioned,"bathroom, bedroom 1","lounge, hallway",0256_TA6.pdf,wind driven rain due to roof defects,semi-detached/end terrace,not mentioned,uPVC,external moisture penetration,none
semi-detached dwelling,cavity,not mentioned,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mat well,playroom,0193_PO15.pdf,leaking soil vent pipe joint,semi-detached/end terrace,not mentioned,not mentioned,internal leaks/plumbing,none
4-bedroom converted water tower,solid,1898,both,west,not mentioned,double-glazed,not mentioned,not mentioned,sitting room,not mentioned,0114_CF23.pdf,poor masonry jointing and detailing,other,not mentioned,other,external moisture penetration,none
end terrace one bedroom ground floor maisonette,solid,1950's,both,not mentioned,not mentioned,top hung,2 adults,not mentioned,rear bedroom,not mentioned,0260_TA6.pdf,overflowing gutters keeping walls permanently wet,semi-detached/end terrace,not mentioned,other,external moisture penetration,none
ground floor flat in a purpose built block,cavity,not mentioned,not mentioned,north,trickle vents,not mentioned,not mentioned,not mentioned,two bedrooms,not mentioned,0212_RM3.pdf,obstructed radiator and inadequate heating,ground floor flat,natural ventilation,not mentioned,insufficient heating,lifestyle factors
large detached property with six self-contained flats,cavity,early 1900s,both,not mentioned,"extractors, trickle vents",uPVC,2 adults and 2 children,yes,lounge,bathroom,0196_PO21.pdf,atmospheric moisture and inadequate ventilation,detached,extract ventilation,uPVC,poor ventilation,none
ground floor two-bedroom flat,cavity,early 1980s,both,not mentioned,trickle vents,PVCu,"5 persons, 1 dog and 2 cats",not mentioned,"Kitchen, Bedroom 1","Bathroom, Bedroom 2",0222_SN10.pdf,raised atmospheric moisture levels and reduced ventilation,ground floor flat,natural ventilation,uPVC,poor ventilation,none
single storey office converted from a Fire Station,solid,not mentioned,damp,west,not mentioned,uPVC,not mentioned,not mentioned,communal hallway,open plan office area,0197_PO21.pdf,water ingress from defective uPVC window units,other,not mentioned,uPVC,external moisture penetration,none
one bedroom ground floor flat,cavity,late 1970s to early 1980s,both,not mentioned,"extraction units, trickle vents",not mentioned,1 adult,yes,every room,not mentioned,0223_SN10.pdf,lack of adequate ventilation and heating,ground floor flat,extract ventilation,not mentioned,poor ventilation,insufficient heating
ground floor flat in a purpose built block,cavity,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,bathroom,bedroom,0298_W9.pdf,failed bath seal causing moisture issues,ground floor flat,not mentioned,not mentioned,internal leaks/plumbing,none
semi-detached house converted into flats,timber,early 1900s,both,not mentioned,not mentioned,PVCu,not mentioned,not mentioned,Flat 1 Bedroom,Flat 2 Bedroom,0217_SE5.pdf,compromised DPC in party wall,semi-detached/end terrace,not mentioned,uPVC,rising damp,none
1970's - 1980's 2 bedroom ground floor flat,cavity,1970's - 1980's,both,not mentioned,"extractor in kitchen, additional vents in lounge, trickle vents",PVCu,1 adult and 2 children,yes,bathroom,children’s room,0101_BN17.pdf,inadequate ventilation and drying clothes indoors,ground floor flat,extract ventilation,uPVC,poor ventilation,lifestyle factors
modern dwelling,cavity,not mentioned,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,music room,lounge,0148_GU27.pdf,defective flaunching allowing water ingress,not mentioned,not mentioned,not mentioned,external moisture penetration,none
large semi-detached structure divided into four self-contained flats,solid,early 1900s,damp,north west,extractor units in bathroom and en-suite,not mentioned,not mentioned,not mentioned,small bedroom,not mentioned,0105_BN21.pdf,water ingress through exterior wall renders,semi-detached/end terrace,extract ventilation,not mentioned,external moisture penetration,none
top floor apartment in a purpose built block,not mentioned,not mentioned,both,north,"ceiling mounted extractor units in bathroom and en-suite, cooker hood in kitchen",not mentioned,not mentioned,not mentioned,"bedroom, hallway",communal stairwell,0144_E8.pdf,interstitial condensation in roof structure,flat,extract ventilation,not mentioned,poor ventilation,none
four bedroom end of terrace house,cavity,not mentioned,both,not mentioned,"kitchen and bathroom extraction units, trickle vents",not mentioned,5 adults,yes,"lounge, bathroom",not mentioned,0100_BN16.pdf,lack of ventilation and high internal humidity,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,none
flat,cavity,1990 - present,both,south-east,"mechanical extraction units in bathroom and kitchen/lounge, open passive trickle vents in kitchen and bedroom",not mentioned,not mentioned,not mentioned,built-in cupboard within the bedroom,not mentioned,0131_DA10.pdf,lack of adequate overall ventilation,flat,extract ventilation,not mentioned,poor ventilation,none
semi-detached block built property,not mentioned,circa 2002,both,south,not mentioned,uPVC,not mentioned,not mentioned,attic,bedroom,0146_FK7.pdf,lack of ventilation and high moisture levels,semi-detached/end terrace,not mentioned,uPVC,poor ventilation,none
2-bedroom self-contained flat,not mentioned,circa 1950,both,not mentioned,trickle vents to the windows,uPVC,4 adults and 2 children,not mentioned,front bedroom,bathroom,0158_LU1.pdf,lack of adequate ventilation,flat,natural ventilation,uPVC,poor ventilation,none
three flats in a purpose built structure,cavity,not mentioned,both,not mentioned,"trickle vents, extractor fans (not functioning in some areas)",not mentioned,not mentioned,not mentioned,bathroom,kitchen,0241_SW6.pdf,inadequate ventilation and cold bridging,flat,extract ventilation,not mentioned,poor ventilation,insufficient heating
large mid-terraced dwelling,solid,early 1900s,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,"master bedroom, dressing room",not mentioned,0130_CT9.pdf,condensation is a factor in moisture levels,mid terrace,not mentioned,not mentioned,poor ventilation,none
end-of-terrace ground floor apartment,cavity,pre-1965,both,north-west,"passive vents, trickle vents, dehumidifiers",uPVC,not mentioned,no,bedroom,not mentioned,0267_TA8.pdf,inadequate ventilation and condensation issues,ground floor flat,natural ventilation,uPVC,poor ventilation,none
modern end of terrace dwelling,not mentioned,not mentioned,both,not mentioned,extractor units in bathroom and en-suite areas,not mentioned,not mentioned,not mentioned,daughter’s bedroom and landing,not mentioned,0166_ME15.pdf,inadequate ventilation in bathroom and en-suite,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,none
top floor flat in a purpose built block,cavity,not mentioned,mould,not mentioned,"extractor fans, trickle vents",uPVC,not mentioned,not mentioned,master bedroom,bathroom,0135_DT5.pdf,ineffective ventilation and high atmospheric moisture,flat,extract ventilation,uPVC,poor ventilation,none
semi-detached dwelling,solid,not mentioned,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,kitchen,dining room,0152_HA4.pdf,leaking foul and storm drains,semi-detached/end terrace,not mentioned,not mentioned,internal leaks/plumbing,none
semi-detached three bedroom Cornish type house,solid,1945-1960,both,south-east,"trickle vents, forced fan in kitchen",uPVC,2 adults and 4 children with 2 pet dogs,not mentioned,living room,utility,0254_TA6.pdf,inadequate ventilation and air extraction,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none
semi-detached house,cavity,1940's,both,not mentioned,"extractor in bathroom not operating, trickle vents closed",PVCu double glazing,1 adult,yes,bedroom,bathroom,0109_BS26.pdf,inadequate ventilation when drying clothes indoors,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,lifestyle factors
detached bungalow,cavity,1964,mould,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,front bedroom,not mentioned,0289_TW18.pdf,compromised DPC due to external render systems,detached,not mentioned,not mentioned,rising damp,none
three bedroom semi-detached dwelling,solid,pre-dates 1965,both,not mentioned,"kitchen extractor not in use, bathroom extractor insufficient",uPVC,not mentioned,not mentioned,master bedroom,bathroom,0170_ME3.pdf,plumbing issues and ineffective ventilation,semi-detached/end terrace,extract ventilation,uPVC,internal leaks/plumbing,poor ventilation
large modern semi-detached dwelling,cavity,not mentioned,both,south east,"trickle vents, wall mounted extractor units",not mentioned,not mentioned,yes,lower ground floor bedroom,not mentioned,0181_N8.pdf,elevated internal atmospheric moisture levels,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,none
two bedroom first floor maisonette,cavity,1970s,both,not mentioned,"no trickle vents, one extraction unit in bathroom (not working), one extraction unit in WC (not functioning)",uPVC,"1 adult, 1 child, and 1 adult staying 3 nights a week",yes,bedroom 1,lounge,0171_ME4.pdf,lack of adequate ventilation and drying clothes indoors,flat,extract ventilation,uPVC,poor ventilation,lifestyle factors
three bedroom flat,solid,1970s,mould,not mentioned,trickle vents and passive vents,not mentioned,1 adult and 2 children,yes,bedroom 3,bedroom 1,0169_ME2.pdf,lack of ventilation and high humidity,flat,natural ventilation,not mentioned,poor ventilation,none
bungalow,cavity,1965 – 1990,both,east,"extractors, trickle vents",not mentioned,not mentioned,yes,Back bedroom,"Bathroom, Kitchen",0300_CH7.pdf,atmospheric moisture and inadequate ventilation,other,extract ventilation,not mentioned,poor ventilation,none
two Bedroom semi detached dormer house,cavity,not mentioned,both,not mentioned,"positive pressure unit, bathroom extraction fan, kitchen fan",not mentioned,3 - 4 adults and 2 cats,not mentioned,hallway and stairs,bedrooms and living room,0108_BS24.pdf,poor ventilation and high atmospheric moisture,semi-detached/end terrace,PIV,not mentioned,poor ventilation,none
end of terrace dwelling,solid,early 1900s,both,not mentioned,wall mounted extractor units in bathroom and kitchen,uPVC,not mentioned,not mentioned,"front bedroom, bathroom",kitchen,0125_CR0.pdf,ground water issue and penetrating damp,semi-detached/end terrace,extract ventilation,uPVC,external moisture penetration,rising damp
purpose block flats,cavity,2006,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,"bathroom, en-suite",not mentioned,0096_BH12.pdf,leaks from bath and shower seals,flat,not mentioned,not mentioned,internal leaks/plumbing,none
first floor 2-bedroom apartment,cavity,1960s,both,south-west,"UPVC windows with trickle vents, passive vent in living room, forced ventilation in bathroom and kitchen",double-glazed,not mentioned,not mentioned,"bedroom 2, bathroom","living room, kitchen",0262_TA6.pdf,previous high atmospheric moisture loading,flat,extract ventilation,not mentioned,poor ventilation,none
two bedroom flat,cavity,1960s,both,not mentioned,well ventilated with windows and trickle vents open and continuous background forced ventilation,uPVC,not mentioned,not mentioned,bedroom 1,lounge,0243_SW6.pdf,water ingress via uPVC wall structure,flat,continuous mechanical ventilation,uPVC,external moisture penetration,none
luxury apartment,cavity,2009/2010,both,west,not mentioned,not mentioned,not mentioned,not mentioned,"bedroom, bathroom",not mentioned,0213_SA1.pdf,poorly sealed roof allowing wind-driven water ingress,flat,not mentioned,not mentioned,external moisture penetration,none
purpose built flat,solid,post 2006,both,not mentioned,bathroom extractor fan,not mentioned,not mentioned,not mentioned,master bedroom,not mentioned,0286_TN9.pdf,condensation from poorly placed insulation,flat,extract ventilation,not mentioned,poor ventilation,other/unclear
top floor flat in a modern purpose built block,cavity,not mentioned,mould,not mentioned,trickle vents and ceiling mounted extractor units,not mentioned,not mentioned,not mentioned,loft area,not mentioned,0123_CO6.pdf,ineffective previous mould clean and moisture presence,flat,extract ventilation,not mentioned,other/unclear,none
single storey garden house,solid,1930s,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,0188_NW8.pdf,rain water migration into wall structures,other,not mentioned,not mentioned,external moisture penetration,none
ground floor flat,cavity,circa 2010,mould,not mentioned,"forced air ventilation units, trickle vents",uPVC,not mentioned,not mentioned,bedroom,not mentioned,0189_OX16.pdf,lack of air flow and cavity bridging,ground floor flat,extract ventilation,uPVC,poor ventilation,other/unclear
large maisonette,solid,early 1900s,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,lower bedroom,not mentioned,0239_SW1W.pdf,water ingress from drainage system issues,other,not mentioned,not mentioned,internal leaks/plumbing,none
semi-detached solid brick construction,solid,circa 1950,both,not mentioned,"forced ventilation units in bathroom and kitchen, trickle vents",uPVC,not mentioned,not mentioned,kitchen,lounge,0220_SL9.pdf,water ingress through faulty external render,semi-detached/end terrace,extract ventilation,uPVC,external moisture penetration,none
semi-detached bungalows,timber,not mentioned,both,not mentioned,"ceiling mounted extractor in bathroom, no air flow in kitchen",not mentioned,not mentioned,not mentioned,bathroom,not mentioned,0155_IV25.pdf,condensation and inadequate ventilation,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,none
ground floor flat in a modern purpose built block,cavity,not mentioned,both,not mentioned,en-suite extractor unit not functioning; bathroom unit ineffective,not mentioned,not mentioned,not mentioned,en-suite bathroom,not mentioned,0120_CO14.pdf,plumbing issue near shower mixer control,ground floor flat,extract ventilation,not mentioned,internal leaks/plumbing,none
not mentioned,solid,1890s,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,utility room,kitchen,0124_CR0.pdf,condensation from inadequate ventilation and leaks,not mentioned,not mentioned,not mentioned,poor ventilation,internal leaks/plumbing
first floor contained flat,cavity,circa 2013,both,not mentioned,forced air units and extractor hood,PVCU,2 adults and 1 baby,yes,bedroom,bathroom,0299_WD24.pdf,condensation due to lack of adequate ventilation,flat,extract ventilation,uPVC,poor ventilation,none
two bedroom ground floor flat,cavity,pre-dating 1965,mould,not mentioned,"no forced ventilation provided in bathroom or kitchen, passive vents present",uPVC,"2 adults and 4 teenagers, with a fifth child every other weekend",not mentioned,"bathroom, bedroom",not mentioned,0168_ME2.pdf,inadequate ventilation and high occupancy,ground floor flat,natural ventilation,uPVC,poor ventilation,lifestyle factors
flat,cavity,not mentioned,both,not mentioned,"inadequate, trickle vents closed",not mentioned,not mentioned,yes,Bedroom 2,Bathroom,0119_CM6.pdf,inadequate ventilation and drying laundry indoors,flat,natural ventilation,not mentioned,poor ventilation,lifestyle factors
