property_type,wall_type,age,issue_type,orientation,ventilation,window_type,occupancy,drying_clothes,main_issue_location,secondary_issue_locations,filename,cause
two storey 3-bedroom maisonette,cavity,1950s,both,north west,no mechanical/electrical ventilation,uPVC,"2 Adults and 5 Children (ages 1, 2, 4, 5 & 9)",not mentioned,Bedroom 1,Bathroom,0251_TA6.pdf,condensation from inadequate ventilation
two bedroom ground floor flat,cavity,20-30 years,mould,not mentioned,"trickle vents, storage heaters",not mentioned,2 adults and 3 children,yes,lounge/diner,bedroom 1,0095_BH1.pdf,lack of ventilation and drying clothes indoors
three storey linked dwelling,timber,not mentioned,not mentioned,south east,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,0167_ME19.pdf,thermal radiation causing joint failure
two bedroom ground floor flat,cavity,1980s,mould,not mentioned,"trickle vents, drier vented internally, Nuaire vent unit",uPVC,1 adult and 2 children,yes,"Bedroom 1, Bathroom","Kitchen, Bedroom 2",0099_BN12.pdf,lack of ventilation / lifestyle issues
mid-terrace dwelling,cavity,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,master bedroom,not mentioned,0175_MK8.pdf,condensation in the roof structure
semi-detached property,cavity,1940-1950s,both,not mentioned,trickle vents,PVCu,6 persons and 1 large dog,not mentioned,kitchen,bedrooms,0272_TA9.pdf,high atmospheric moisture from inadequate ventilation
two bedroom ground floor flat,cavity,not mentioned,both,not mentioned,trickle vents,uPVC,3 adults,yes,kitchen,lounge,0097_BH21.pdf,long term leaks and inadequate ventilation
circa 1960’s two bedroom ground floor flat,solid,1960s,mould,not mentioned,trickle vents fitted,uPVC,1 adult and 3 children,yes,bedroom 2,not mentioned,0140_E7.pdf,restricted airflow from furniture and drying clothes
first floor flat in a purpose built block,cavity,not mentioned,mould,not mentioned,"passive ventilation by opening windows, centralized extractor unit",uPVC,not mentioned,not mentioned,two bedrooms,not mentioned,0194_PO19.pdf,insufficient ventilation and internal moisture levels
purpose built block,cavity,not mentioned,mould,north east,extractor fan in bathroom,not mentioned,not mentioned,not mentioned,"master bedroom, second bedroom",not mentioned,0107_BS23.pdf,loss water wicking up from the floor structure
mid terrace property,solid,1930s,both,not mentioned,"forced air extraction unit, trickle vents",uPVC,not mentioned,not mentioned,dining room,bathroom,0145_EN3.pdf,poor drainage and inadequate ventilation
detached chalet bungalow,solid,1940’s to 1950's,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,bathroom,kitchen,0180_N20.pdf,moisture penetrating through solid brick wall
ground floor flat,cavity,early to mid 1960s,both,not mentioned,"trickle vents, electric extractor units",uPVC,not mentioned,yes,front bedroom,"bathroom, kitchen",0231_SS16.pdf,lack of forced ventilation and high moisture production
two bedroom first floor flat,not mentioned,circa 1960,both,not mentioned,"trickle vents, wall mounted Envirovent units",uPVC,1 adult and 2 young children,yes,lounge,"bedroom, kitchen",0230_SS16.pdf,lack of ventilation and poor loft insulation
ground floor flat in a purpose built block,solid,late 1930s,both,not mentioned,trickle vents and windows were open,not mentioned,not mentioned,not mentioned,toilet,bathroom,0244_SW6.pdf,moisture from occupational activity
two-storey three-bedroom mid-terrace house,cavity,1960,both,north,no mechanical/electrical ventilation; windows open as much as possible,uPVC,3 adults and 1 child + 1 small dog,not mentioned,lounge,"master bedroom, daughter's bedroom",0269_TA9.pdf,moisture wicking from below DPC level
retail unit in a terrace,solid,1889,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,basement,office,0137_E1.pdf,foul water ingress affecting basement area
semi-detached dwelling,cavity,not mentioned,both,north west,windows have to be opened to provide ventilation,not mentioned,not mentioned,not mentioned,kitchen diner,entrance hall,0173_ME8.pdf,condensation related issues
large country manor house split into luxury apartments,solid,early 1800s,both,south west,limited cavity ventilation,not mentioned,not mentioned,not mentioned,Flat 13,Flat 1,0150_GU30.pdf,rainwater ingress through defective exterior render
end terrace house,cavity,mid 1980s,both,south,not mentioned,not mentioned,not mentioned,not mentioned,living room,bedroom 1,0224_SO18.pdf,water ingress through open gable head
self-contained flat,cavity,circa 1997,mould,not mentioned,forced air extraction unit in bathroom,double-glazed,not mentioned,not mentioned,master bedroom,not mentioned,0153_HP3.pdf,inadequate ventilation and water ingress
large stone built detached property,solid,1800s,both,west,not mentioned,timber,not mentioned,not mentioned,sitting room,bedroom,0113_CA11.pdf,moisture ingress from water leak
large detached dwelling,cavity,2014,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,kitchen,garage,0204_PR3.pdf,water ingress due to poor structural detailing
semi-detached dwelling,cavity,early 1900s,damp,not mentioned,trickle vents,uPVC,not mentioned,not mentioned,ground floor reception rooms,first floor bathroom,0278_TN24.pdf,weather ingress associated with flashings and roof detail
1970's 2nd and 3rd floor maisonette,cavity,1970s,both,not mentioned,"trickle vents, lack of forced ventilation",not mentioned,5 occupants,yes,bedroom 2,"bedroom 1, lounge, kitchen",0163_LU4.pdf,blocked drains causing water ingress
semi-detached dwelling,cavity,1970s,both,not mentioned,no ventilation,sealed non-opening window unit,not mentioned,not mentioned,WC,not mentioned,0174_MK41.pdf,lack of ventilation and low floor level
first floor flat in an end of terrace property,solid,not mentioned,both,not mentioned,not mentioned,uPVC,not mentioned,not mentioned,bedroom,bathroom,0215_SE25.pdf,raised humidity and occasional condensation
large detached dwelling,cavity,early to mid 1900’s,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,ground floor front bedroom,shower,0209_RH19.pdf,moisture migration from ground under floor slabs
flat,solid,late 1940s,mould,not mentioned,trickle vents,not mentioned,2 adults,yes,master bedroom,kitchen,0162_LU3.pdf,lack of ventilation during moisture production
three-bedroom terraced house,solid,1950s,both,not mentioned,insufficient extraction fan in bathroom,uPVC,"2 adults and 3 children, 2 small dogs",not mentioned,bedroom 1 and bathroom,bedroom 2,0270_TA9.pdf,condensation from occupant-generated moisture
detached bungalow,cavity,1953,both,not mentioned,uPVC windows with trickle vents (all closed),uPVC,not mentioned,not mentioned,lounge,not mentioned,0279_TN26.pdf,lack of ventilation and high atmospheric moisture
studio apartment,cavity,1960,damp,not mentioned,"mechanical/electrical fan in bathroom, inadequate in kitchen",not mentioned,1 person (void when surveyed),not mentioned,lounge/bedroom,bathroom,0253_TA6.pdf,overflowing roof valley gutter
purpose built block of flats,cavity,circa 2005,both,not mentioned,trickle vents and extractors,PVCu,2 adults and 2 children,yes,kitchen,child's bedroom,0207_RH10.pdf,inadequate ventilation and moisture from drying clothes
ground floor flat in a purpose built block,cavity,circa 2009,both,not mentioned,extractor fans in kitchen and bathroom,not mentioned,not mentioned,not mentioned,lounge,"hallway, bedroom 1",0206_RH10.pdf,occupational moisture levels and cooled surfaces
large extension to an original structure,cavity,not mentioned,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,basement,shower room,0156_KT6.pdf,rain penetration through detailing issues
two bedroom semi-detached house,cavity,not mentioned,mould,not mentioned,passive vents,uPVC,1 adult and 2 children,yes,landing,"bedroom 1, bedroom 2",0132_DT4.pdf,lack of forced ventilation and high moisture levels
large four bedroom detached house,solid,not mentioned,both,not mentioned,"trickle vents, extractors",uPVC,9 adults,yes,Bedroom 1,Dining Room,0139_E7.pdf,atmospheric conditions from high occupancy
semi-detached 2-bedroom bungalow,cavity,2000/2001,both,north west,not mentioned,not mentioned,2 Adults and 2 children,not mentioned,bedroom,not mentioned,0288_TR15.pdf,occupational moisture created and not managed
one bedroom flat,solid,1950/60,mould,not mentioned,trickle vents,not mentioned,not mentioned,yes,bedroom,not mentioned,0118_CM20.pdf,lack of ventilation and high moisture production
large semi-detached structure containing 5 self-contained flats,solid,mid to late 1800s,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,bathroom and kitchen area to flat 5,kitchen area to flat 4,0214_SE24.pdf,damp from inadequate basement tanking
first floor flat in a purpose built block,cavity,not mentioned,mould,not mentioned,"extractor fan in bathroom, trickle vents in windows",uPVC,not mentioned,yes,bathroom,not mentioned,0202_PO7.pdf,atmospheric moisture from occupational activity
basement flat,solid,prior to 1865,both,north,passive air vents and ceiling mounted extractor unit,not mentioned,not mentioned,not mentioned,"master bedroom, second bedroom",bathroom,0291_W11.pdf,condensation during colder periods
circa 1940's concrete system built structure,solid,1940's,both,not mentioned,trickle vents and extractor fans,uPVC,5 people and 2 dogs,not mentioned,bedroom and bathroom,not mentioned,0271_TA9.pdf,lack of ventilation and thermal efficiency
top floor flat,not mentioned,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,"lounge, hallway","bathroom, stairway",0187_NW8.pdf,historic plumbing leak
large detached dwelling of modern construction,cavity,not mentioned,both,not mentioned,"extractor units in bathroom and en-suite areas, trickle vents in windows",not mentioned,not mentioned,not mentioned,rear bedroom,"bathroom, en-suite areas",0281_TN33.pdf,condensation from inadequate ventilation
modern ground floor flat,cavity,not mentioned,mould,east,"trickle vents, passive vent, extractor units",uPVC,not mentioned,not mentioned,bedroom,bathroom,0290_W10.pdf,atmospheric moisture load and cool surface temperatures
first floor flat in a purpose built block,solid,1950s,both,not mentioned,trickle vents and extractor units,not mentioned,not mentioned,yes,lounge,not mentioned,0296_W6.pdf,condensation and raised relative humidity levels
old fisherman cottage,solid,circa 1850-1870,damp,not mentioned,trickle ventilation,PVCu,not mentioned,not mentioned,lounge,not mentioned,0252_TA6.pdf,lack of damp proof course and membrane
circa 1950’s two bedroom ground floor flat,cavity,1950s,mould,south west,"trickle vents, no use of extraction units",not mentioned,1 adult,yes,bedroom 1,bedroom 2,0133_DT4.pdf,inadequate ventilation and drying clothes indoors
ground floor flat in a purpose built block,cavity,not mentioned,both,not mentioned,both forced and passive ventilation,not mentioned,not mentioned,not mentioned,bathroom,not mentioned,0276_TN16.pdf,possible water leak in bathroom area
single storey structure,cavity,1996,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,toilets,office,0199_PO22.pdf,multiple leaks causing excess moisture
first floor flat,cavity,post 2000,both,not mentioned,"extractor in bathroom, trickle ventilation in windows",not mentioned,not mentioned,yes,Bedroom 1,Bedroom 2,0198_PO22.pdf,lack of adequate ventilation and drying clothes indoors
upper floor apartment,not mentioned,not mentioned,both,not mentioned,extractor unit in bathroom,not mentioned,not mentioned,not mentioned,bathroom,communal hallway,0176_N1.pdf,water ingress from flat roof and parapet walls
one bedroom ground floor flat,cavity,1970s,mould,not mentioned,"extraction unit in bathroom, windows can lock on safety latch",not mentioned,not mentioned,yes,not mentioned,not mentioned,0192_PO11#.pdf,lack of ventilation and lifestyle issues
detached dwelling with a thatched roof,not mentioned,2006,both,not mentioned,insufficient extractor in bathroom,not mentioned,not mentioned,not mentioned,master bedroom,lounge,0147_GU25.pdf,condensation and elevated humidity levels
three bedroom semi-detached dwelling,cavity,pre-date 1965,both,not mentioned,"passive vents, extractor fans",uPVC,not mentioned,not mentioned,"bathroom, first floor stairwell",not mentioned,0285_TN38.pdf,high internal atmospheric moisture levels
purpose built apartment,cavity,circa 2014,both,not mentioned,trickle vents,PVCU,not mentioned,not mentioned,lounge,kitchen,0178_N16.pdf,rain water ingress through patio doors
top floor flat in a modern purpose built development,cavity,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,two bedrooms and the en-suite to the master bedroom,not mentioned,0116_CM12.pdf,internal plumbing issues causing moisture accumulation
mid-terraced three bedroom house,cavity,pre-1965,both,not mentioned,trickle vents and passive vents,uPVC,not mentioned,not mentioned,"kitchen, living room",not mentioned,0268_TA9.pdf,bridged DPC due to screed over concrete sub-floor
extensively developed property dedicated to the care of elderly residents,cavity,not mentioned,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,stairwell,not mentioned,0190_PL13.pdf,defective rainwater gulley and downpipe misalignment
semi-detached three-bedroom house,cavity,1960s to early 70s,both,northwest,extractors and trickle vents,uPVC,3 adults,not mentioned,living room,kitchen,0264_TA7.pdf,rain penetration through defective lead flashing
maisonette,cavity,late 1800s,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,Kitchen,hallway,0143_E8.pdf,leak from kitchen waste pipe
detached,cavity,1950 – 1965,both,west,"no trickle vents, mechanical extraction unit not working",not mentioned,not mentioned,not mentioned,bedroom 2,not mentioned,0246_BN18.pdf,inadequate ventilation and water ingress
basement flat in a terrace town house,solid,not mentioned,both,not mentioned,"sash windows, extractor unit in shower room",sash,not mentioned,not mentioned,"lounge, bedroom",not mentioned,0128_CT6.pdf,ongoing moisture from plumbing issues
"two story, two-bedroom dwelling",solid,1800s,both,not mentioned,"ceiling mounted extractor unit in bathroom, window units used for passive ventilation",uPVC,1 adult with occasional visits from an adult child,not mentioned,first floor store room,first floor bedroom,0287_TQ2.pdf,water ingress affecting structural walls
large end of terrace dwelling,cavity,not mentioned,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,Bedroom 3,"Bedroom 1, Bedroom 2",0165_ME14.pdf,cold areas due to inadequate insulation
large purpose built block of flats,cavity,not mentioned,mould,south,"trickle vents closed, extractor unit in bathroom turned off",uPVC,not mentioned,yes,lounge,not mentioned,0228_SS1.pdf,condensation from inadequate ventilation
ground floor flat in a purpose built block,cavity,not mentioned,mould,north west,trickle vents and wall mounted extractor in bathroom,not mentioned,not mentioned,not mentioned,kitchen,not mentioned,0127_CR8.pdf,venting loss moisture not removed from drying
first floor apartment,cavity,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,lounge,not mentioned,0182_N8.pdf,weather ingress and interstitial condensation
