property_type,wall_type,age,issue_type,orientation,ventilation,window_type,occupancy,drying_clothes,main_issue_location,secondary_issue_locations,filename,cause,analysis,heating_system
terraced dwelling converted into flats,solid,not mentioned,both,not mentioned,"mechanical extraction units in bathroom and kitchen, manual opening of window top openings",not mentioned,not mentioned,not mentioned,"bedroom 2, lounge",bedroom 1,0568_IG1.pdf,"The main causes of the reported mould issues are inadequate ventilation due to non-operational mechanical extraction units, the absence of trickle vents, and reliance on manually opening windows, which were not utilized effectively. Additionally, the presence of furniture against external walls restricts natural air circulation, further contributing to the mould development.","The reported damp and mould issues in the property are primarily caused by poor ventilation, leading to elevated atmospheric moisture levels and subsequent condensation. The use of mechanical extraction units that were found to be switched off, along with insufficient undercutting of bathroom doors, further exacerbates the lack of airflow. Additionally, the presence of cooler areas between furniture and walls contributes to condensation, while gaps in window fittings allow cold air to enter, creating conditions conducive to mould growth.",Not mentioned
three-bedroomed terraced house,solid,1965,mould,not mentioned,"no passive trickle vents or mechanical extraction units, reliant on opening windows",not mentioned,not mentioned,not mentioned,bathroom,kitchen,0628_LU2.pdf,"The reported issues are primarily due to inadequate ventilation, leading to elevated internal humidity levels and condensation, compounded by the absence of mechanical extraction units and the placement of furniture against external walls, which restricts airflow. Additionally, there may be a potential ingress of ground moisture contributing to the moisture levels observed.","The reported issues of damp and mould in the property are primarily caused by inadequate ventilation, leading to elevated internal humidity levels, particularly in moisture-prone areas like the bathroom and bedrooms. Additionally, the absence of effective damp proof courses (DPC) and potential defects in the building's structure may allow ground moisture to migrate into the walls, exacerbating the damp conditions. The combination of high relative humidity and insufficient air circulation creates an environment conducive to mould growth.",Gas central heating
end of terrace three bedroom house,cavity,1980s,mould,not mentioned,trickle vents,uPVC,2 adults,yes,lounge,kitchen,0386_BH31.pdf,"The reported issues are primarily caused by inadequate ventilation throughout the property, particularly due to the absence of extraction units in both the kitchen and bathroom, which leads to increased humidity levels. Additionally, the drying of clothes indoors without proper airflow exacerbates the moisture problem. The placement of furniture against external walls restricts airflow, contributing to localized condensation, while potential cold bridging and insufficient insulation in the cavity may also be underlying factors.","The main causes of the reported damp and mould issues in the property are poor ventilation, particularly in the lounge and kitchen, leading to elevated humidity levels, and inadequate external pointing which may allow moisture ingress. Additionally, the presence of a bush close to the property could be contributing to bridging issues, further exacerbating moisture retention. The use of full-length curtains may also hinder air circulation, promoting mould growth.",Gas central heating
one bedroom basement flat in an end of terrace property,solid,just prior to 1878,mould,not mentioned,manual extractor fans in bathroom and kitchen,not mentioned,2 adults and 1 child,yes,kitchen cupboard,"bedroom, bathroom",0949_SW6.pdf,"The main causes of the reported mould activity are elevated atmospheric moisture levels, which are likely driven by occupational activities within the property, and restricted airflow due to the presence of numerous contents in the area, particularly in the cupboard under the external stairwell. Additionally, the ineffective operation of the bathroom extractor fan, which is difficult to access, may further contribute to inadequate ventilation.","The reported mould issues in the property are primarily caused by inadequate ventilation, leading to elevated relative humidity levels, particularly in areas like the kitchen and bathroom. The presence of a poorly functioning bathroom and kitchen extractor fans, combined with high moisture levels from daily activities such as cooking and drying clothes indoors, contributes to the accumulation of moisture in the air. Additionally, the age of the property and potential bridging of the damp proof course (DPC) by external render may allow ground moisture to penetrate the walls, further exacerbating the damp conditions conducive to mould growth.",Gas central heating
ground floor flat in a purpose built block,cavity,2002,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,0427_BN2.pdf,"The main causes of the reported damp and mould issues are ongoing plumbing leaks that are affecting the structure, which contribute to moisture accumulation, and the need for restorative drying methods due to the presence of damp in the insulated floor structure and wall structures.","The reported damp and mould issues in the property are primarily caused by an internal plumbing-related problem, leading to standing water present in the insulated floor slab. This situation, combined with the presence of thermoplastic floor tiles that may trap moisture, has resulted in significant moisture accumulation affecting the internal walls, while the exterior walls remain largely undamaged.",Gas central heating
ground floor flat,cavity,not mentioned,both,not mentioned,"extractor fans in bathroom and kitchen, trickle vents",not mentioned,not mentioned,not mentioned,bathroom,not mentioned,0387_BH31.pdf,"The reported damp and mould issues are primarily caused by a combination of potential plumbing leaks in the bathroom, inadequate use of extractor fans, and the open bathroom door allowing damp air to circulate throughout the property. Additionally, the presence of cavity wall insulation may contribute to moisture retention, while high atmospheric moisture levels due to occupational activities further exacerbate the situation.","The reported damp and mould issues in the property are primarily caused by a combination of high moisture levels due to a previous leak from the flat above, inadequate ventilation, and high relative humidity, particularly in the bathroom. The presence of cavity wall insulation in a region prone to wind-driven rain may also contribute to moisture penetration, while the use of passive ventilation methods and limited operation of extractor fans further exacerbates condensation problems, creating an environment conducive to mould growth.",Not mentioned
one-bedroom ground floor flat,cavity,summer of 2024,both,not mentioned,extractors,not mentioned,1 adult,not mentioned,not mentioned,not mentioned,0072_RH10.pdf,"The main causes of the reported damp and mould issues are likely due to residual construction moisture within the property, as indicated by elevated moisture readings in lower walls and skirtings. Despite good ventilation and functioning extractor devices, the presence of damp skirting and lower walls suggests that the moisture is not related to condensation but rather to moisture trapped in the structure from construction activities.","The main causes of the reported damp and mould issues in the property appear to be high moisture levels within the structure, likely due to inadequate ventilation and potential structural dampness from the cavity walls. The consistently high relative humidity and low air flow rates from the installed ventilation systems further exacerbate the conditions, leading to condensation and mould growth, particularly in areas with reduced construction density such as skirting boards and cupboards.",Not mentioned
one bedroom first floor flat,solid,not mentioned,both,not mentioned,"trickle vents, extractor fans",uPVC,1 adult and 2 infants,yes,bedroom,"kitchen, lounge, bathroom",0141_E7.pdf,"The reported issues of damp and mould are primarily caused by inadequate ventilation, particularly in areas where moisture is generated, such as from drying clothes indoors. This is compounded by the presence of cold exterior walls that contribute to condensation, along with elevated humidity levels in the property due to the occupancy and activities within the flat.","The main causes of the reported damp and mould issues in the property are inadequate ventilation and high internal humidity levels. The presence of solid external brick walls and the tenant's lifestyle, including drying laundry indoors and insufficient use of extractor fans during high moisture activities, contribute to elevated moisture levels. Additionally, the poor performance of the kitchen extractor fan and the closed trickle vent in the bedroom exacerbate the situation, leading to conditions conducive to mould growth.",Not mentioned
first/second floor apartment,cavity,2005,mould,not mentioned,passive vents located above the bedroom windows,metal framed,not mentioned,not mentioned,"galleried lounge area, kitchen","small bedroom, bathroom",0179_N19.pdf,"The reported issues are primarily caused by poor insulation and cold bridging, which allow low external temperatures to penetrate the living space, leading to condensation on surfaces. Additionally, the lack of adequate ventilation and insulation in the loft area contributes to heat loss, further exacerbating the potential for condensation and mould growth. The presence of moisture stains may also indicate possible water ingress through the roof structure, compounding the moisture issues.","The main causes of the damp and mould issues reported in the property include poor ventilation leading to high humidity levels, particularly in the kitchen and bathroom, which contributes to condensation. Additionally, the presence of cold bridging due to metal framed windows exacerbates condensation issues. Structural deficiencies such as the absence of vertical damp proof courses (DPCs), poorly installed damp proof membranes (DPMs), and inadequate insulation in the roof void further contribute to moisture retention and mould growth.",Not mentioned
semi-detached dwelling,cavity,1930s,both,not mentioned,"working extraction units in both the bathroom and kitchen, trickle vents slightly open",not mentioned,not mentioned,not mentioned,bedroom and bathroom,not mentioned,0928_SO50.pdf,"The main causes of the reported damp and mould issues are excessive internal humidity levels and inadequate ventilation, which are exacerbated by potential internal leaks from poorly maintained pipework and possible defects within the cavity walls leading to penetrating damp.","The reported damp and mould issues are primarily caused by inadequate damp proofing, specifically the continuity issues between the installed damp proof courses (DPC) in the blockwork internal cavity wall and the brick exterior walls, which allows ground moisture to penetrate. Additionally, the presence of debris overlaying the DPC may further exacerbate moisture migration into the walls. High moisture readings in specific areas indicate that structural factors, such as the construction type and potential ground moisture, are also contributing to the problem.",Not mentioned
three-bedroom semi-detached dwelling,cavity,pre-1965,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,lounge,not mentioned,0929_SO50.pdf,"The reported damp and mould issues are primarily caused by bridging of the damp proof course (DPC) due to external ground levels, including shingle and plant growth against the walls, which allows moisture to migrate into the property. Additionally, the presence of non-moisture resistant magnesite flooring and decaying timber battens within the floor structure contribute to moisture retention and further exacerbate the damp conditions.","The reported damp and mould issues in the property are primarily caused by bridging of the damp proof course (DPC) due to external ground levels and debris, which allows moisture to migrate into the walls and floors. Additionally, the presence of non-moisture resistant magnesite flooring, combined with inadequate damp proof membranes (DPM) and the decaying timber battens, contributes to elevated moisture levels and potential structural decay.",Oil or LPG central heating
semi-detached 2-bedroom house,solid,1950s,mould,not mentioned,trickle vents,uPVC,2 adults,yes,lounge,kitchen,0315_BH19.pdf,"The main causes of the reported damp and mould issues include inadequate ventilation in the kitchen, leading to condensation, and insufficient insulation in areas with sloping ceilings, causing dew point to be reached on cold surfaces. Additionally, the potential breach or absence of the damp proof course (DPC) in certain areas may contribute to moisture ingress, while the need for external repairs, such as repointing and addressing the air brick, could further exacerbate the problem.","The main causes of the reported damp and mould issues in the property include poor ventilation leading to high humidity levels, as evidenced by the relative humidity readings in various rooms, and structural deficiencies such as broken pointing around air bricks and issues with guttering that may allow rainwater ingress. Additionally, the presence of condensation on walls and ceilings indicates inadequate thermal insulation and potential cold bridging, contributing to the mould growth observed throughout the property.",Not mentioned
two bedroom first floor flat,cavity,1960s,both,not mentioned,trickle vents,not mentioned,not mentioned,not mentioned,"bathroom, bedroom",not mentioned,0117_CM18.pdf,"The main causes of the reported damp and mould issues are likely poor ventilation, as indicated by the closed windows and trickle vents, leading to condensation, and previous leaks in the bathroom that have contributed to elevated moisture levels in the walls and floor. Additionally, the blocked cavity in the external wall may also hinder proper moisture management, exacerbating the conditions for mould growth.","The main causes of the reported damp and mould issues are multiple leaks in the bathroom leading to water saturation in the adjoining bedroom, combined with inadequate ventilation in both rooms. The high relative humidity levels, particularly in the bathroom, and the lack of an extraction unit exacerbate condensation problems, creating an environment conducive to mould growth. Additionally, the presence of a closed trickle vent and the underutilization of a dehumidifier contribute to the moisture retention in these areas.",Gas central heating
two-bedroom first floor flat,cavity,not mentioned,both,not mentioned,"mechanical extraction units in kitchen and bathroom, passive vent in bedroom 1, PIV unit and trickle vents to all windows other than in the lounge",not mentioned,not mentioned,yes,bathroom,"Bedroom 1, Bedroom 2",0080_SO19.pdf,"The main causes of the reported damp and mould issues are a general lack of adequate cross ventilation throughout the property and the presence of a large volume of contents in front of wall surfaces, which restricts airflow and exacerbates condensation and mould potential.","The main causes of the reported damp and mould issues in the property are inadequate ventilation and high internal humidity levels. Despite the installation of mechanical extraction units, their performance is below recommended levels, leading to insufficient air circulation. Additionally, the placement of furniture and belongings against external walls restricts airflow, contributing to condensation and mould growth. The practice of drying clothes indoors without proper ventilation further exacerbates the humidity problem.",Not mentioned
semi-detached 2 bedroom maisonette,cavity,not mentioned,damp,not mentioned,forced extraction units in bathroom and kitchen,uPVC,2 adults and 3 medium sized dogs,not mentioned,lounge,"bathroom, kitchen",0081_SO31.pdf,"The reported damp and mould issues are primarily caused by inadequate ventilation, particularly in the bathroom and kitchen, where the extraction units do not meet current flow rate recommendations. Additionally, there are potential issues with cavity wall insulation (CWI) and breaches in the damp proof course (DPC) that may lead to damp bridging. The presence of gaps between the concrete plinth and the uPVC window, along with blocked venting systems, further exacerbates moisture retention and condensation, creating an environment conducive to dampness.","The reported damp and mould issues are primarily caused by inadequate ventilation, leading to condensation, particularly around cold surfaces such as window reveals and passive wall plates. Additionally, structural deficiencies, including gaps in the exterior seals and potential rainwater penetration, contribute to elevated moisture levels. The presence of a poorly functioning extractor fan and the accumulation of warm air in enclosed spaces further exacerbate the conditions conducive to mould growth.",Not mentioned
three-bedroomed house,cavity,not mentioned,both,not mentioned,passive trickle vents,not mentioned,not mentioned,not mentioned,"kitchen, lounge","dining room, bedroom 2, bathroom",0665_LU3.pdf,"The reported mould issues are primarily due to inadequate ventilation, as evidenced by closed passive trickle vents and the absence of mechanical extraction units in moisture-prone areas like the bathroom and kitchen. This lack of ventilation, combined with elevated internal humidity levels, creates conditions conducive to mould growth.","The reported issues of damp and mould in the property are primarily caused by inadequate ventilation, leading to elevated humidity levels and condensation. The use of a tumble dryer without proper external venting contributes to increased moisture in the air, while closed trickle vents in windows restrict necessary airflow. Additionally, the lack of a mechanical extraction unit in the bathroom exacerbates moisture retention, creating an environment conducive to mould growth.",Gas central heating
two-bedroom ground floor flat,cavity,circa 1950,both,not mentioned,PIV ventilation system and dehumidifier,not mentioned,not mentioned,yes,bedroom 2,bedroom 1,0675_LU3.pdf,"The main causes of the reported damp and mould issues include poor ventilation leading to condensation, particularly in the bedrooms where clothes are occasionally dried, and the presence of contents against external walls obstructing natural airflow. Additionally, the potential lack of a sufficient damp proof membrane (DPM) due to the conversion of the ground floor flats from storage sheds may contribute to moisture retention in the structure.","The reported damp and mould issues in the property are primarily caused by poor ventilation, particularly in the bedrooms where furniture and bedding are positioned against external walls, leading to cold spots and inadequate airflow. Additionally, the drying of damp clothes indoors exacerbates humidity levels, while the presence of a cold floor slab contributes to condensation. The lack of effective insulation and the recent installation of a PIV unit suggest that previous ventilation issues were significant contributors to the damp conditions.",Not mentioned
end-of-terraced three bedroom house,cavity,pre-date 1965,both,not mentioned,"trickle vents, no forced ventilation in kitchen or bathroom",uPVC,2 adults and 1 dog,not mentioned,"bedroom 2, bedroom 3",not mentioned,0265_TA8.pdf,"The damp patches in bedrooms 2 and 3 are likely caused by inadequate ventilation and potential moisture ingress from the chimney stack, leading to localized dampness in the ceilings despite the overall dry conditions in the rest of the property.","The reported damp and mould issues are primarily caused by inadequate ventilation throughout the property, particularly in the kitchen and bathroom, leading to condensation on cold surfaces such as the chimney stack and adjacent ceilings. Additionally, the blocked vents and external air bricks, which were sealed during cavity wall insulation, further exacerbate the lack of airflow. The potential for moisture ingress from the roof, particularly around the chimney area, combined with the presence of hygroscopic salts from previous fuel combustion, may also contribute to the elevated moisture levels observed.",Gas central heating
circa 1970s’ 2 bedroom 1st floor flat,cavity,1970s,mould,not mentioned,no forced ventilation,uPVC,2 adults and 3 children,not mentioned,bedroom 2,bathroom,0337_BH21.pdf,"The mould issues are primarily caused by inadequate ventilation, leading to condensation, particularly in areas with reduced air circulation. Additionally, raised moisture levels in the bathroom are attributed to water splashing from the sink, and potential issues with loft insulation may contribute to colder areas that facilitate further condensation.","The reported mould growth in the property is primarily caused by high humidity levels, particularly in the bathroom and bedrooms, which are exacerbated by inadequate ventilation and potentially insufficient insulation in the attic. The atmospheric conditions indicate elevated relative humidity, especially in the bathroom (63%) and bedrooms (56.9% and 63.9%), leading to condensation and subsequent mould development on walls and ceilings.",Gas central heating
three bedroomed terraced dwelling,cavity,not mentioned,mould,north,trickle vents and passive vent,uPVC,1 adult and 2 teenagers,yes,bedroom 1,not mentioned,0957_TA6.pdf,"The main causes of the reported damp and mould issues include inadequate ventilation due to closed trickle vents and the drying of clothes indoors, which increases moisture levels in the property. Additionally, the malfunctioning window in bedroom 1 may contribute to localized moisture retention, while potential water ingress from the valley box gutter line could introduce external moisture during rainfall.","The reported damp and mould issues are primarily caused by inadequate ventilation, particularly in bedroom 1 where the trickle vent was closed, restricting airflow and contributing to moisture accumulation. Additionally, water ingress during rainfall, potentially from a poorly functioning valley box gutter, exacerbates the problem. The presence of mould around the window frame suggests previous condensation issues, likely due to the window not shutting correctly, further indicating a lack of proper ventilation and moisture control in the property.",Not mentioned
1 bedroom ground floor flat,solid,1970s – 80s,mould,not mentioned,"extractors, trickle vents, passive vents",uPVC,2 adults and 1 dog,yes,bathroom,not mentioned,0336_BH21.pdf,"The reported issues are primarily caused by inadequate ventilation due to under-performing extraction units in the wet rooms, which fail to meet the recommended airflow rates. Additionally, the passive vent in the lounge only cools the area, potentially increasing condensation risk, while the missing silicone seal in the bath may allow water to run down the wall, contributing to moisture problems.","The reported issues of damp and mould are primarily caused by inadequate ventilation, particularly in the bathroom, leading to high humidity levels and condensation on the UPVC windows. Additionally, the damaged bath seal may allow water to penetrate the wall, exacerbating moisture problems. The ineffective operation of the bathroom extraction fan further contributes to the accumulation of moisture in the space.",Gas central heating
ground floor flat in a modern purpose-built block,cavity,not mentioned,mould,east,continuous running fan units with boost function in bathroom and kitchen,not mentioned,not mentioned,yes,bedroom,bathroom,0989_TW6.pdf,"The reported damp and mould issues are primarily caused by inadequate ventilation, particularly in the kitchen where the fan is not operating continuously as designed, leading to insufficient removal of moisture. Additionally, the practice of drying laundry in the lounge contributes to elevated humidity levels, further exacerbating the problem. Transient atmospheric conditions causing condensation on surfaces also play a role in the moisture accumulation.","The main causes of the reported damp and mould issues in the property are inadequate ventilation and high relative humidity levels, particularly in areas like the bedroom and bathroom. The presence of furniture against the east-facing exterior wall restricts air circulation, contributing to moisture retention. Additionally, the drying of laundry indoors without proper ventilation exacerbates humidity levels, creating an environment conducive to mould growth.",Gas central heating
three-bedroom end terrace house,cavity,2007,both,not mentioned,retrofit ventilation slots in the laps of the roofing felt,not mentioned,1 x Adult and 1 x 15-year-old male,not mentioned,1st floor front bedroom,loft,0191_PL25.pdf,"The main causes of the damp and mould issues reported are inadequate eaves cross flow ventilation due to compromised roof construction and guttering placement, which restricts airflow and allows moisture to accumulate. Additionally, the improper joining of the stack pipe to the mushroom vent and the severely restricted bathroom duct further exacerbate moisture ingress into the loft void, leading to mould contamination in the insulation.","The main causes of the damp and mould issues reported in the loft space are inadequate ventilation due to blocked eaves ventilation from improperly installed guttering and roofing felt, which is draping into the gutter and obstructing airflow. Additionally, the lack of a ridge vent and the presence of sewer vapours entering the loft void contribute to high humidity levels, leading to condensation and subsequent mould growth on insulation and structural timbers.",Gas central heating
mid-terraced two-bedroom house,solid,1930s,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,dining room,bedroom,0689_LU4.pdf,"The main causes of the reported damp and mould issues are poor detailing and installation of the external cladding, which allows for water ingress by bridging the damp proof course (DPC) and creating potential entry points for moisture. Additionally, defects in the lead work and cracks noted during the cladding installation may have further contributed to moisture penetration, wetting the insulation and affecting the internal walls.","The main causes of the reported damp and mould issues include inadequate ventilation due to blocked air bricks, which restricts airflow to the subfloor, and potential water ingress from poorly detailed external cladding and cracks in the brick effect cladding installed in 2014. Additionally, the absence of a damp proof course (DPC) may contribute to moisture rising through the walls, exacerbating the damp conditions observed in various locations within the property.",Not mentioned
3 bedroom 2nd floor flat,solid,1970s,both,not mentioned,"trickle vents, extractor fans",uPVC,1 adult and 3 children,yes,lounge,Bedroom 2,0492_DT4.pdf,"The reported issues are primarily caused by inadequate ventilation due to under-performing extraction units and closed trickle vents, leading to moisture accumulation and mould growth. Additionally, ongoing roof leaks and potential defects in the external walls, such as poor pointing and issues with the chimney flashing, contribute to high moisture levels in the property.","The reported damp and mould issues are primarily caused by inadequate ventilation, as indicated by the high relative humidity levels in various rooms, particularly in the lounge and bedrooms. Additionally, the presence of water ingress through the ceiling suggests potential structural issues, such as a leak, which exacerbates moisture accumulation. The malfunctioning kitchen and bathroom fans further contribute to poor air circulation, leading to condensation and mould growth.",Gas central heating
3-bedroom semi-detached dwelling,cavity,early 2000s,both,not mentioned,"100mm diameter extraction unit in bathroom, trickle vents to uPVC windows, passive vent in kitchen (blocked)",uPVC,not mentioned,yes,"lounge, bedroom 1","kitchen, bathroom",0699_LU4.pdf,"The main causes of the reported mould issues are high internal atmospheric conditions resulting from inadequate ventilation, particularly due to a non-functional bathroom extraction unit and a blocked kitchen vent. Additionally, the presence of draughts from poorly sealed windows and doors, along with cold bridging issues, contribute to the cold and damp environment that fosters mould growth.","The main causes of the reported mould and damp issues in the property are inadequate ventilation, particularly due to blocked passive vents and a non-functional extraction unit in the bathroom, leading to elevated humidity levels. Additionally, the high relative humidity readings throughout the property, combined with cooler surface temperatures, create conditions conducive to mould growth, as moisture levels exceed the thresholds necessary for mould proliferation.",Gas central heating
first floor flat in a circa 1970’s end of terrace property,solid,1970s,mould,not mentioned,"trickle vents, extractor fans",uPVC,2 adults and 2 children,yes,bedroom 1,"bedroom 2, lounge",0482_DT4.pdf,"The reported issues of damp and mould are primarily caused by inadequate ventilation, as evidenced by closed trickle vents, malfunctioning extraction units, and insufficient airflow from the kitchen extractor. Additionally, the presence of condensation on windows indicates poor internal atmospheric management, while blocked passive vents further exacerbates the lack of air circulation.","The main causes of the reported damp and mould issues in the property are inadequate ventilation, particularly in the kitchen and bathroom, leading to high humidity levels and condensation. Additionally, the presence of high moisture levels in various structural elements, such as walls and ceilings, suggests potential issues with insulation and possibly the effectiveness of the damp proof course (DPC) and cavity wall insulation. The lack of maintenance for trickle vents and extraction units further exacerbates the problem by failing to facilitate proper airflow and moisture control.",Gas central heating
semi-detached house,cavity,not mentioned,mould,not mentioned,extractors,not mentioned,not mentioned,not mentioned,rear lounge,not mentioned,0115_CH7.pdf,"The main causes of the reported mould issues are high humidity levels and a lack of air circulation in the affected areas, exacerbated by a disconnected duct from the over-hob extractor, which allows moisture-laden air to circulate into the kitchen and adjoining spaces.","The main causes of the reported mould issues are inadequate ventilation, particularly due to a disconnected kitchen extraction unit that allows moisture-laden air to accumulate in the living areas, and the external ground level being 200mm below the damp proof course (DPC), which may contribute to moisture ingress. Additionally, the presence of previously identified water ingress through the rear door seals suggests ongoing moisture issues that could exacerbate mould growth.",Not mentioned
ground floor maisonette,cavity,not mentioned,mould,not mentioned,extractor fan unit,not mentioned,not mentioned,not mentioned,shower room,not mentioned,0506_E15.pdf,"The main causes of the reported damp and mould issues are poor ventilation in the shower room, leading to surface condensation, and ineffective operation of the extractor fan, which fails to adequately control atmospheric moisture levels after showers.","The reported damp and mould issues are primarily caused by inadequate ventilation in the shower room, leading to high levels of atmospheric moisture and surface condensation. The wall-mounted extractor fan operates only when the light is on, failing to remove residual moisture after use, while limited make-up air flow into the room exacerbates the situation. Additionally, the high relative humidity levels and low surface temperatures contribute to conditions conducive to mould growth.",Not mentioned
large detached dwelling,solid,1750,both,south,not mentioned,not mentioned,not mentioned,not mentioned,kitchen,hallway,0227_SO51.pdf,"The reported moisture-related issues are likely due to inadequate ventilation, which can lead to condensation, and possibly poor insulation or water ingress, contributing to dampness and mould growth throughout the property.","The main causes of the damp and mould issues reported in the property include the absence of a damp proof course (DPC) due to the property's age, which allows ground water to rise into the walls, and significant water ingress from heavy rainfall during the winter of 2013-2014, saturating the solid brick walls. Additionally, the presence of vegetation near the exterior walls restricts evaporation, further exacerbating moisture retention. There are also indications of ongoing water ingress through the chimney, which has not been adequately sealed, contributing to localized dampness in the hallway.",Not mentioned
large detached Grade II listed dwelling,solid,circa 1700,both,not mentioned,upgrading of the extractor fan units to the bathroom and shower room is recommended,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,0226_SO51.pdf,"The reported damp and mould issues are primarily caused by moisture migration from the ground and rainwater penetration through compromised external render finishes, exacerbated by the installation of dry lining and wood paneling that trap moisture within the wall structures. Additionally, the cooler temperatures of damp walls during winter contribute to condensation problems within the property.","The reported damp and mould issues in the property are primarily caused by inadequate damp proofing due to the age of the building, which predates the requirement for damp proof courses (DPCs) in construction. Additionally, the presence of obstructed ventilation systems, particularly in bathrooms and kitchens, contributes to elevated humidity levels, exacerbating moisture retention. Furthermore, the exterior ground level being higher than the internal floor level may lead to water ingress, compounding the moisture problems within the structure.",Not mentioned
single storey extension to a land manor house,cavity,1980s,damp,north,not mentioned,not mentioned,not mentioned,not mentioned,kitchen,dining area,0280_TN3.pdf,"The reported damp and mould issues are primarily caused by weather ingress associated with the parapet wall detail, leading to significant moisture levels in the affected areas. Additionally, high external relative humidity and poor thermal performance on the North facing elevation contribute to condensation, exacerbating the damp conditions.","The main causes of the reported damp and mould issues are weather ingress associated with the parapet wall detail, which allows moisture to penetrate the structure, and poor ventilation leading to elevated internal humidity levels. Additionally, the thermal survey indicates that condensation is a factor, particularly on the North facing elevation, where cold surface temperatures contribute to moisture accumulation.",Not mentioned
large detached house converted into two flats,solid,not mentioned,both,not mentioned,"passive vents, extraction units",not mentioned,1 adult and 1 child,not mentioned,"kitchen, Bedroom 1",Bedroom 2,0184_NW10.pdf,"The main causes of the reported damp and mould issues include inadequate drainage from rainwater due to a malfunctioning downpipe, poor pointing of the brickwork, and blocked air bricks leading to insufficient ventilation in the subfloor. Additionally, the presence of rodents may contribute to increased humidity and condensation, exacerbating the moisture problems.","The reported damp and mould issues in the property are primarily caused by inadequate ventilation, as evidenced by blocked air bricks and insufficient extraction rates in the bathroom and kitchen, leading to elevated humidity levels. Additionally, structural issues such as penetrating damp from external water ingress, particularly around the window sills and walls, contribute to the moisture problems. The presence of a mouse infestation may also indicate underlying issues with property maintenance and potential entry points for moisture.",Not mentioned
semi-detached brick built property,cavity,circa 1970,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,lounge,not mentioned,0112_CA1.pdf,"The main causes of the reported damp and mould issues include inadequate ventilation due to the absence of exhaust ports for moisture-laden air, which prevents proper air circulation and moisture escape from the cavity wall. Additionally, the lack of airflow directed to the floor void contributes to elevated moisture levels in the timbers, while the ineffective chemical injection treatment, applied into the brick rather than the mortar, may have failed to address the underlying dampness effectively.","The main causes of the reported damp and mould issues are inadequate drainage and ventilation, leading to water ingress from flooding that entered through air bricks and affected the cavity wall and timber suspended floors. Additionally, the lack of sufficient airflow in the cavity and under the suspended floors has resulted in stagnant moisture, exacerbating the damp conditions.",Not mentioned
semi-detached 3-bedroom house,cavity,1960s,both,not mentioned,no forced ventilation,uPVC,2 adults and 1 child,not mentioned,bedroom 1,bedroom 2,0340_BH21.pdf,"The main causes of the reported damp and mould issues are poor ventilation in the property, leading to increased humidity and condensation, and moisture ingress through the old flue that is not properly capped, allowing water to enter the cavity walls. Additionally, the failure of the double glazed unit may contribute to the dampness in bedroom 1.","The main causes of the reported damp and mould issues include inadequate sealing around the newly installed gas flue, which allows water ingress, and potential insufficient insulation in the attic, leading to temperature differentials that contribute to condensation. Additionally, the high moisture levels recorded in various areas of the property indicate poor ventilation, exacerbating the conditions for mould growth.",Gas central heating
ground floor flat,cavity,circa 2013,both,not mentioned,positive air input system,uPVC,not mentioned,yes,bedroom,bathroom,0185_NW11.pdf,"The main causes of the reported damp and mould issues include poor ventilation due to the absence of trickle vents and an imbalance in the positive air input system, which is leading to condensation. Additionally, the blocked cavity with debris and saturated brick ties are contributing to moisture ingress, while the sloping clay ground around the property may exacerbate water accumulation near the walls.","The reported issues of damp and mould growth are primarily caused by inadequate ventilation, particularly in areas like the bathroom and laundry, leading to elevated humidity levels. Additionally, the presence of wet cavity wall insulation and external factors such as poor drainage from the garden butt against the brickwork contribute to moisture retention, exacerbating the mould problem.",Gas central heating
ground floor flat in a purpose-built block,cavity,not mentioned,both,north,"passive vents and trickle vents, intermittent extractor fan in bathroom",uPVC,not mentioned,not mentioned,"lounge, bedroom 1",bathroom,0976_TN16.pdf,"The main causes of the reported damp and mould issues are poor ventilation leading to elevated atmospheric moisture levels, transient periods of condensation, and inadequate occupational activity management. Additionally, the lack of an extractor fan in the kitchen and the malfunctioning bathroom fan contribute to insufficient air circulation, exacerbating the moisture problems.","The main causes of the reported damp and mould issues in the property appear to be inadequate ventilation, particularly in the kitchen and bathroom, leading to elevated humidity levels. Additionally, the presence of plumbing leaks and moisture penetration through the floor and walls contribute to the high moisture readings. The combination of these factors creates an environment conducive to mould growth, exacerbated by the lack of effective moisture control measures.",Gas central heating
